#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
41379601,0.30036592,0.28670904,0.8765182,0.010505443549406595,0.245853,0.23,1,280369,279936,433,0.23,0.231506,1,279960
2341401,0.1266245,0.12628706,0.9251012,0.009464140333844061,0.809259,0.71,2,118266,117809,457,0.71,0.711667,2,117823
9743781,0.03672213,0.028959792,0.9392713,0.6696197858988556,0.816757,0.74,2,74672,74208,464,0.75,0.749994,2,74218
4936061,0.05679437,0.2267444,0.9352227,0.3403469915097822,0.639201,0.7,1,79045,78583,462,0.73,0.729856,2,78593
11215781,0.0315454,4.9214643e-05,0.94331986,0.770764119601329,0.787942,0.65,2,79841,79375,466,0.71,0.7048,2,79393
6878361,0.10725399,0.08886823,0.9412955,0.4795127353266888,0.846959,0.75,2,75221,74756,465,0.81,0.8088,2,74766
30023821,0.088224,0.1753079,0.86842096,0.012523197661776828,0.169968,0.09,1,259199,258770,429,0.1,0.0983013,1,258784
11196501,0.031545244,0.031486593,0.8825911,0.008245346561689347,0.41,0.29,1,145366,144930,436,0.29,0.291667,1,144942
14063561,0.121469535,0.1212451,0.8906882,0.008974777125462057,0.543257,0.37,1,152875,152435,440,0.37,0.371667,1,152453
10857401,0.13410103,0.1680219,0.92712545,0.7456626061277224,0.797835,0.76,2,78490,78032,458,0.71,0.70992,2,78042
7276481,0.06503872,0.041693285,0.85829955,0.5009228497600591,0.0513977,0.0,1,56226,55802,424,0.0,3.72146e-06,1,55812
7158781,0.25207174,0.23598571,0.86234814,0.00721731721253862,0.126291,0.11,1,143591,143165,426,0.07,0.0755,1,143204
4645541,0.03816328,0.039556764,0.85425097,0.009841370975490121,0.197931,0.0,1,93297,92875,422,0.01,0.0116618,1,92887
11017761,0.061858647,0.18657064,0.9412955,0.756921373200443,0.720951,0.88,1,79212,78747,465,0.86,0.845994,2,78772
1174181,0.034076907,0.02272041,0.88461536,0.0812107788851975,0.448813,0.22,1,116292,115855,437,0.24,0.239996,1,115865
5304221,0.02902194,0.03783775,0.9352227,0.36600221483942413,0.84549,0.81,2,80410,79948,462,0.79,0.789744,2,79958
711361,0.02055693,0.0016358229,0.9453441,0.048726467331118496,0.883783,0.75,2,74653,74186,467,0.73,0.73,2,74217
1862641,0.034656238,0.0052217995,0.9372469,0.12956810631229235,0.931116,0.93,2,128900,128437,463,0.81,0.788,2,128569
9622921,0.03158688,0.10094665,0.93319833,0.6613141380583241,0.826816,0.76,2,74210,73749,461,0.74,0.7396,2,73759
6459261,0.04109162,0.049462445,0.9412955,0.449796973052787,0.864871,0.78,2,73784,73319,465,0.8,0.8,2,73329
24008381,0.29832652,0.29875895,0.85425097,0.006844764028580531,0.0171744,0.01,1,256201,255779,422,0.01,0.0115264,1,255799
2344321,0.07579723,0.075635985,0.9251012,0.009467680031553877,0.809852,0.71,2,118270,117813,457,0.71,0.711667,2,117829
1224941,0.04462769,0.06791044,0.9453441,0.08397932816537468,0.759545,0.85,2,76505,76038,467,0.8,0.8,2,76048
