#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
139165921,0.0861711343684778,0.0739011602952705,0.777947932618683,,0.00333382850715703,0.944284,0.91,2,1720330,1719822,508,0.92,0.91142,2,1719874
247357001,0.0385352787629827,0.048015331079667,0.70750382848392,,0.0050433453943529,0.777045,0.71,2,3379275,3378813,462,0.73,0.768574,2,3378859
21149021,0.00389652093636913,0.00364357900188357,0.666156202143951,,0.00578621223857475,0.216322,0.27,1,114442,114007,435,0.27,0.272857,1,114019
221912161,0.0946368621890443,0.0579182791732142,0.817764165390505,,0.00371868467684603,0.0586786,0.81,1,2882217,2881683,534,0.72,0.757977,2,2881771
25210741,0.0273743334464397,0.0261052246985751,0.64624808575804,,0.0048631728616449,0.0577461,0.01,1,154177,153755,422,0.02,0.0181407,1,153775
117187821,0.0549480879651658,0.0544106118597713,0.704441041347626,,0.00377524060142398,0.425764,0.21,1,1442952,1442492,460,0.22,0.220765,1,1442531
339412221,0.0625708257586815,0.0834900021638035,0.738131699846861,,0.00396697897987118,0.915557,0.79,2,4493993,4493511,482,0.8,0.794241,2,4493543
76004141,0.0337933413834742,0.0320398991170972,0.64624808575804,,0.00270014749106034,0.0253705,0.01,1,853212,852790,422,0.02,0.0188162,1,852800
313111061,0.070250811806789,0.0700923341054446,0.650842266462481,,0.00483165858472247,0.225743,0.09,1,4114459,4114034,425,0.07,0.0769043,1,4114074
302698621,0.412477465608395,0.343076360979174,0.831546707503829,,0.00179493437178358,0.2596,0.93,1,4184572,4184029,543,0.91,0.9244,2,4184157
99991941,0.0796361134122045,0.0706072129147142,0.655436447166922,,0.00323260082976985,0.0880055,0.01,1,1179707,1179279,428,0.03,0.067704,1,1179346
334384721,0.0879647866365134,0.0902901979702814,0.696784073506891,,0.00395435204736691,0.0865095,0.13,1,4417965,4417510,455,0.1,0.0930619,1,4417550
342849021,0.0902647636992988,0.0945874761892938,0.732006125574273,,0.00325711193404285,0.282269,0.91,1,4502434,4501956,478,0.89,0.933309,2,4502078
80854261,0.061583388148853,0.0579040902980018,0.647779479326187,,0.00413887503581168,0.0339213,0.03,1,917300,916877,423,0.03,0.0330279,1,916913
