ack_ewma(ms),classes,freq,,,
1.98464,5.6,0,,,
1.39386,5.62,4,,,
3.55754,5.64,2,,,
2.21759,5.66,6,,,
3.88704,5.68,4,,,
2.75481,5.7,6,,,
2.30193,5.72,6,,,
2.12077,5.74,0,,,
2.04831,5.76,4,,,
2.01932,5.78,4,,,
1.40773,5.8,3,,,
79.1631,5.82,5,,,
32.2652,5.84,3,,,
21.3061,5.86,4,,,
9.72244,5.88,2,,,
5.08897,5.9,4,,,
3.23559,5.92,0,,,
111.694,5.94,5,,,
45.8777,5.96,5,,,
19.5511,5.98,9,,,
10.8204,6,5,,,
5.52817,6.02,3,,,
3.41127,6.04,3,,,
3.16451,6.06,1,,,
2.4658,6.08,2,,,
2.18632,6.1,6,,,
1.47453,6.12,4,,,
1.78981,6.14,5,,,
1.91592,6.16,5,,,
3.16637,6.18,5,,,
2.46655,6.2,1,,,
2.18662,6.22,3,,,
2.07465,6.24,0,,,
3.82986,6.26,4,,,
2.73194,6.28,3,,,
2.29278,6.3,3,,,
2.01874,6.32,2,,,
1.4075,6.34,2,,,
1.763,6.36,3,,,
1.9052,6.38,0,,,
1.96208,6.4,2,,,
1.38483,6.42,4,,,
1.75393,6.44,4,,,
5.48825,6.46,1,,,
6.83572,6.48,10,,,
3.93429,6.5,8,,,
2.77372,6.52,4,,,
2.30949,6.54,0,,,
2.12379,6.56,4,,,
2.04952,6.58,6,,,
1.41981,6.6,6,,,
79.1679,6.62,2,,,
32.2672,6.64,2,,,
16.5069,6.66,3,,,
7.80275,6.68,0,,,
3.7211,6.7,3,,,
3.88844,6.72,0,,,
113.755,6.74,3,,,
46.7021,6.76,4,,,
19.8809,6.78,5,,,
9.15234,6.8,2,,,
4.26094,6.82,2,,,
2.90437,6.84,4,,,
2.36175,6.86,6,,,
3.9447,6.88,0,,,
2.77788,6.9,2,,,
2.31115,6.92,4,,,
2.12446,6.94,2,,,
2.04978,6.96,3,,,
2.01991,6.98,1,,,
2.00797,7,1,,,
2.00319,7.02,0,,,
6.20127,7.04,3,,,
1.76688,7.06,1,,,
1.90675,7.08,5,,,
1.9627,7.1,1,,,
1.98508,7.12,2,,,
1.39403,7.14,9,,,
1.75761,7.16,3,,,
1.90305,7.18,5,,,
1.36122,7.2,4,,,
1.74449,7.22,3,,,
3.51912,7.24,2,,,
2.60765,7.26,3,,,
5.45722,7.28,3,,,
2.78289,7.3,2,,,
3.51316,7.32,7,,,
2.60526,7.34,5,,,
1.6421,7.36,7,,,
4.85684,7.38,1,,,
2.54274,7.4,1,,,
