#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
771521,0.05655477,9.2472976e-05,0.8744939,0.05204872646733112,0.0963908,0.14,1,34714,34282,432,0.0,2.63685e-32,1,34292
7678761,0.056352124,0.0053495015,0.9372469,0.5322997416020672,0.783967,0.82,2,78014,77551,463,0.77,0.769999,2,77561
601989461,0.07871943,0.09498708,0.8643725,0.07597038284359087,0.000563765,0.03,1,2222538,2222111,427,0.03,0.0299955,1,2222121
14286921,0.060000397,0.012624246,0.9372469,1.8074935400516796,0.758884,0.86,2,79389,78926,463,0.76,0.760001,2,78936
12069201,0.061837535,0.0065271826,0.9453441,1.5271317829457365,0.794433,0.9,2,82532,82065,467,0.83,0.839998,2,82082
4506121,0.123241514,0.110883124,0.9392713,0.3102620893318568,0.871839,0.78,2,88378,87914,464,0.75,0.74936,2,87924
12926581,0.05634647,0.0053360555,0.94331986,0.8918420081210778,0.549888,0.89,1,75054,74588,466,0.7,0.7028,2,74609
9908081,0.056737073,0.00056896405,0.9412955,0.686046511627907,0.847791,0.88,2,85947,85482,465,0.71,0.708,2,85502
15113101,0.05660536,0.010081617,0.9412955,1.0424510889627168,0.809911,0.92,2,82978,82513,465,0.75,0.75,2,82523
705263181,0.07041415,0.028162066,0.8765182,0.010241609652249984,0.258803,0.04,1,2620148,2619715,433,0.21,0.207588,1,2619727
583742321,0.10718293,0.07788871,0.8643725,0.012919896640826873,0.16161,0.08,1,2198451,2198024,427,0.0,0.00193269,1,2198040
11688561,0.052008558,0.15753616,0.9291498,1.4791435954226653,0.815742,0.74,2,81134,80675,459,0.76,0.751856,2,80696
709859281,0.060036574,0.011030252,0.8744939,0.09100613379046,0.150489,0.24,1,2610170,2609738,432,0.11,0.114001,1,2609762
920165381,0.056527354,0.0016021251,0.8765182,0.024363233665559248,0.0896112,0.19,1,3419263,3418830,433,0.01,0.0116,1,3418852
601414321,0.05634647,0.043618355,0.88866395,42.37799926172019,0.129907,0.4,1,2219350,2218911,439,0.38,0.368019,1,2218926
13685381,0.05652029,0.040181402,0.9372469,0.9440753045404208,0.679554,0.82,1,77844,77381,463,0.75,0.750001,2,77391
4660261,0.05856206,0.037883155,0.9372469,0.3209671465485419,0.790101,0.79,2,88881,88418,463,0.73,0.729999,2,88428
3671441,0.056527354,0.0021421255,0.9453441,0.4654854189737911,0.827279,0.91,2,84774,84307,467,0.74,0.74,2,84317
1116961,0.08747382,0.041710693,0.8724696,0.14267257290513105,0.0545721,0.19,1,65277,64846,431,0.14,0.147962,1,64868
3617121,0.052005168,0.15556934,0.93117404,0.2469545957918051,0.822767,0.78,2,74339,73879,460,0.7,0.711568,2,73894
2086241,0.033881366,0.0016026974,0.94331986,0.1434108527131783,0.82799,0.91,2,79561,79095,466,0.8,0.794,2,79115
10559121,0.056527354,0.00032065448,0.9493927,0.7297895902547066,0.707584,0.89,1,77489,77020,469,0.7,0.708,2,77041
597045281,0.04839081,0.074693725,0.8906882,0.022702104097452935,0.492041,0.41,1,2202511,2202071,440,0.3,0.305994,1,2202091
583845981,0.14791937,0.10534905,0.8744939,0.012919896640826873,0.0744275,0.11,1,2198883,2198451,432,0.0,0.00481336,1,2198471
7395441,0.057616074,0.15718476,0.8704453,0.5108896271686969,0.00191448,0.21,1,66717,66287,430,0.12,0.12784,1,66304
357849861,0.16832604,0.08950829,0.8906882,25.2078257659653,0.362251,0.2,1,1336342,1335902,440,0.06,0.0628032,1,1335928
1043885581,0.056527354,0.0,0.93117404,0.22148394241417496,0.9646,0.12,2,3880972,3880512,460,0.12,0.12,1,3880522
929879601,0.056528486,2.1339194e-05,0.87854254,0.018272425249169437,0.169482,0.2,1,3418470,3418036,434,0.04,0.032,1,3418060
5311281,0.056534708,0.0016087729,0.9392713,0.36471022517534146,0.609928,0.84,1,80406,79942,464,0.72,0.718,2,79963
6033041,0.14410886,0.109712474,0.85829955,0.4156515319306017,0.0324485,0.14,1,62077,61653,424,0.08,0.064021,1,61714
9416401,0.05924067,0.004409284,0.8704453,0.6506090808416389,0.0260672,0.25,1,63200,62770,430,0.06,0.06,1,62780
204401,0.056527354,0.046300244,0.94331986,0.027316352897748246,0.169364,0.61,1,52225,51759,466,0.91,0.909359,2,51769
2236841,0.05225841,0.09184821,0.94331986,0.1539313399778516,0.727754,0.81,1,80052,79586,466,0.86,0.85952,2,79596
14564601,0.058416497,0.010108787,0.9392713,1.0047988187523071,0.69964,0.89,1,81074,80610,464,0.71,0.710001,2,80620
2617701,0.06156196,0.06458204,0.8603239,0.33222591362126247,0.122398,0.11,1,70394,69969,425,0.0,4.47691e-06,1,69979
3034721,0.034422897,0.0019582799,0.8643725,0.2070874861572536,0.176,0.0,1,52113,51686,427,0.0,1.53599e-08,1,51784
9374561,0.05721812,0.0010754174,0.9392713,1.1866002214839424,0.83844,0.77,2,83674,83210,464,0.74,0.742,2,83228
13345281,0.03427084,0.00054617884,0.9372469,1.6886304909560723,0.645852,0.85,1,76085,75622,463,0.71,0.706,2,75643
605054161,0.13381693,0.14666304,0.8663967,0.014917423909141017,0.13547,0.12,1,2252151,2251723,428,0.12,0.121667,1,2251735
357060301,0.10185042,0.10043614,0.8805668,0.010428455124218106,0.173811,0.13,1,1329202,1328767,435,0.0,0.0495973,1,1329041
1030241,0.056527354,0.031117313,0.9412955,0.07069029162052418,0.798832,0.73,2,75815,75350,465,0.79,0.789952,2,75360
11518001,0.0628669,0.0078671,0.9392713,1.4575489110372832,0.690794,0.85,1,91236,90772,464,0.72,0.725999,2,90792
606076661,0.05868359,0.041959606,0.8603239,0.07656391429886174,0.0832017,0.03,1,2236133,2235708,425,0.0,2.55967e-06,1,2235718
353208961,0.073836036,0.04016223,0.8987854,24.904946474713917,0.430204,0.44,1,1341212,1340768,444,0.38,0.389968,1,1340787
2231841,0.03395259,0.00028733225,0.86842096,0.2836840162421558,0.158162,0.0,1,59094,58665,429,0.02,0.016,1,58684
