#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
39539161,0.043678805,0.016246295,0.8805668,0.02307124400147656,0.259672,0.31,1,206427,205992,435,0.21,0.210001,1,206002
44918361,0.22418731,0.17263311,0.8906882,0.014211886304909561,0.213669,0.12,1,255296,254856,440,0.17,0.164253,1,254878
48922641,0.057681262,0.05653717,0.8947368,0.025839793281653745,0.322857,0.37,1,237982,237540,442,0.3,0.313675,1,237559
13839501,0.032251857,0.11841777,0.87854254,0.025655223329641933,0.319862,0.34,1,119008,118574,434,0.23,0.230096,1,118584
30278581,0.044244412,0.07415738,0.89271253,0.01864156515319306,0.388626,0.33,1,154553,154112,441,0.31,0.309999,1,154122
4450081,0.038349554,0.058014203,0.8805668,0.012181616832779624,0.270762,0.31,1,83851,83416,435,0.14,0.168045,1,83434
12839661,0.038979508,0.040973503,0.8987854,0.025655223329641933,0.223776,0.43,1,115664,115220,444,0.34,0.34,1,115230
57128261,0.04200391,0.06176914,0.8805668,0.017534145441122185,0.189999,0.29,1,245354,244919,435,0.2,0.2,1,244929
30971841,0.097000204,0.08448687,0.8987854,0.01808785529715762,0.446158,0.5,1,156943,156499,444,0.37,0.370006,1,156509
22262081,0.15511443,0.13855927,0.8805668,0.012181616832779624,0.345703,0.29,1,165053,164618,435,0.26,0.263294,1,164635
26259561,0.0742064,0.08317987,0.88866395,0.013289036544850499,0.370176,0.28,1,181820,181381,439,0.29,0.295833,1,181411
4298241,0.068232834,0.11364802,0.88866395,0.012181616832779624,0.0578532,0.36,1,83319,82880,439,0.27,0.282304,1,82898
37206641,0.109808676,0.15555903,0.8906882,0.014211886304909561,0.187801,0.28,1,225162,224722,440,0.21,0.210685,1,224741
17949781,0.11993391,0.0009843417,0.902834,0.023809523809523808,0.318003,0.22,1,133146,132700,446,0.18,0.1796,1,132727
42465081,0.16124035,0.23092738,0.86842096,0.02399409376153562,0.143577,0.25,1,216284,215855,429,0.16,0.15992,1,215865
38555681,0.19885649,0.16351144,0.902834,0.014211886304909561,0.260277,0.27,1,230440,229994,446,0.27,0.266893,1,230017
34551941,0.04362849,0.054005645,0.88461536,0.02307124400147656,0.3205,0.28,1,189504,189067,437,0.21,0.210004,1,189077
21412781,0.05439993,0.05597828,0.89271253,0.021040974529346623,0.361437,0.3,1,124313,123872,441,0.36,0.35968,1,123882
37107361,0.19142127,0.06474903,0.90485823,0.014211886304909561,0.224242,0.16,1,224773,224326,447,0.21,0.209914,1,224352
36487161,0.23661299,0.26969054,0.8744939,0.02307124400147656,0.44188,0.25,1,196044,195612,432,0.23,0.229679,1,195622
19133101,0.0331091,0.1555159,0.8866396,0.023624953857511996,0.457511,0.46,1,137153,136715,438,0.29,0.290144,1,136725
40489081,0.16843899,0.16492206,0.8825911,0.02307124400147656,0.308996,0.3,1,209597,209161,436,0.26,0.259201,1,209171
43593681,0.019210106,0.0005051394,0.86842096,0.02399409376153562,0.371631,0.12,1,220031,219602,429,0.0,0.004,1,219626
22939521,0.14490418,0.14681473,0.90080965,0.012919896640826873,0.188837,0.31,1,168066,167621,445,0.2,0.20256,1,167645
48737521,0.043866027,0.01540384,0.8825911,0.025839793281653745,0.359102,0.26,1,237336,236900,436,0.22,0.212,1,236931
52710321,0.13802226,0.16665381,0.87854254,0.026393503137689185,0.234086,0.26,1,250724,250290,434,0.23,0.23104,1,250309
28971281,0.04673554,0.07587025,0.8825911,0.02233296419342931,0.252164,0.3,1,170551,170115,436,0.18,0.193776,1,170136
34274961,0.10620826,0.14631347,0.8724696,0.014211886304909561,0.353483,0.2,1,213693,213262,431,0.24,0.230161,1,213285
15666361,0.13008517,0.176528,0.8866396,0.024732373569582872,0.329048,0.37,1,125251,124813,438,0.29,0.2896,1,124823
44813241,0.1689516,0.08297662,0.90080965,0.014211886304909561,0.178518,0.28,1,254884,254439,445,0.24,0.239498,1,254462
26939921,0.28100032,0.275451,0.86842096,0.013289036544850499,0.221562,0.2,1,184714,184285,429,0.16,0.157676,1,184302
40669201,0.03409552,0.005779427,0.88866395,0.017718715393133997,0.194233,0.33,1,189782,189343,439,0.15,0.17,1,189365
40359701,0.07906594,0.030396685,0.89271253,0.02307124400147656,0.207121,0.34,1,209153,208712,441,0.28,0.278394,1,208728
3460201,0.16903676,0.107800335,0.8967612,0.012181616832779624,0.391614,0.44,1,79455,79012,443,0.36,0.376401,1,79028
15061361,0.15650178,0.16523062,0.8947368,0.012181616832779624,0.283215,0.32,1,132114,131672,442,0.38,0.387714,1,131707
41555281,0.04283702,0.074103385,0.8704453,0.023440383905500184,0.280326,0.18,1,213218,212788,430,0.12,0.119999,1,212809
25389341,0.03488557,0.021205748,0.8967612,0.019933554817275746,0.381883,0.28,1,137967,137524,443,0.32,0.32,1,137534
42934541,0.034077067,0.15118837,0.86842096,0.02399409376153562,0.24681,0.3,1,217837,217408,429,0.15,0.149888,1,217418
25986481,0.03813126,0.009412744,0.89271253,0.019564414913252122,0.389736,0.28,1,139881,139440,441,0.36,0.342,1,139459
58869001,0.13443398,0.16642867,0.87854254,0.017534145441122185,0.263113,0.26,1,251200,250766,434,0.26,0.25912,1,250776
50771761,0.044455294,0.015953941,0.8805668,0.017534145441122185,0.158997,0.27,1,223919,223484,435,0.13,0.142,1,223507
34187361,0.18758065,0.19888191,0.8765182,0.014027316352897749,0.272605,0.15,1,213369,212936,433,0.15,0.163522,1,212981
43312261,0.10782542,0.0060843113,0.88866395,0.02399409376153562,0.178026,0.15,1,219136,218697,439,0.21,0.2048,1,218715
53277541,0.14783064,0.18989407,0.90080965,0.026393503137689185,0.262441,0.31,1,252660,252215,445,0.24,0.240736,1,252236
33673441,0.18787716,0.20983294,0.86842096,0.014027316352897749,0.271907,0.14,1,211418,210989,429,0.07,0.086009,1,211009
25508501,0.08343259,0.00827189,0.90080965,0.021410114433370247,0.425699,0.3,1,158968,158523,445,0.34,0.336,1,158541
54517841,0.036151636,0.10017648,0.8805668,0.017534145441122185,0.355567,0.31,1,236565,236130,435,0.2,0.21384,1,236150
34232441,0.07970679,0.08973631,0.8744939,0.017534145441122185,0.244866,0.28,1,168031,167599,432,0.2,0.199849,1,167609
13405601,0.04168562,0.032954656,0.8724696,0.025655223329641933,0.376359,0.17,1,117609,117178,431,0.3,0.271997,1,117197
31746001,0.032761786,0.044087686,0.8906882,0.017534145441122185,0.259463,0.36,1,159590,159150,440,0.39,0.38104,1,159169
9119161,0.16134445,0.050933182,0.90485823,0.012366186784791436,0.267307,0.18,1,105180,104733,447,0.16,0.163932,1,104761
48353561,0.08816643,0.12862164,0.8744939,0.017534145441122185,0.2559,0.26,1,215761,215329,432,0.22,0.219675,1,215339
18229561,0.062622674,0.053480137,0.8947368,0.012181616832779624,0.396313,0.25,1,146612,146170,442,0.33,0.347571,1,146186
4342041,0.11252488,0.03411163,0.8906882,0.012181616832779624,0.264221,0.21,1,83402,82962,440,0.28,0.294548,1,82978
3474801,0.033406254,0.05738542,0.89271253,0.012181616832779624,0.323914,0.37,1,79475,79034,441,0.36,0.3619,1,79046
4305401,0.05456791,0.1388513,0.88866395,0.026578073089700997,0.296312,0.5,1,86678,86239,439,0.35,0.35,1,86249
54182961,0.114966325,0.09693021,0.8744939,0.026393503137689185,0.36639,0.24,1,255705,255273,432,0.16,0.16399,1,255295
54913481,0.032623302,0.008524129,0.87854254,0.026578073089700997,0.288306,0.3,1,258166,257732,434,0.17,0.170002,1,257742
13878761,0.10046135,0.052615356,0.8987854,0.012181616832779624,0.447995,0.36,1,126772,126328,444,0.35,0.364812,1,126344
12601061,0.036591694,0.005545545,0.902834,0.025655223329641933,0.388008,0.34,1,114921,114475,446,0.38,0.3776,1,114490
19182181,0.11748552,0.049411282,0.90080965,0.021963824289405683,0.378248,0.32,1,116733,116288,445,0.23,0.230399,1,116310
37252801,0.08269207,0.102160454,0.8825911,0.02307124400147656,0.35737,0.39,1,198643,198207,436,0.29,0.28728,1,198245
2298041,0.06256368,0.036371425,0.88866395,0.012181616832779624,0.228999,0.18,1,74196,73757,439,0.33,0.331429,1,73769
51388901,0.13855569,0.042832784,0.8967612,0.02602436323366556,0.215802,0.26,1,246309,245866,443,0.18,0.178395,1,245889
24165921,0.15920725,0.15644051,0.8825911,0.013289036544850499,0.315645,0.31,1,173150,172714,436,0.18,0.201569,1,172733
44190641,0.04179729,0.015395779,0.8906882,0.017718715393133997,0.196785,0.38,1,201699,201259,440,0.3,0.301978,1,201280
43158561,0.054289363,0.028558655,0.89271253,0.017718715393133997,0.324607,0.35,1,198175,197734,441,0.32,0.319984,1,197744
39023301,0.10889481,0.005207977,0.88866395,0.017534145441122185,0.169184,0.1,1,184187,183748,439,0.18,0.1756,1,183767
19902701,0.06786249,0.19765393,0.89271253,0.023255813953488372,0.396995,0.39,1,139814,139373,441,0.36,0.359808,1,139383
