Protocolo,Total_Tx,Throughput_Med,Throughput_Norm,
Vegas++MLP23,1038.70539093018,0.577058550516764,0.0605095797624643,
Vegas++CNN123,267.085773468018,0.14838098526001,0.0155590295902959,
Vegas++CNN13,855.667507171631,0.475370837317573,0.0498467435785469,
Vegas,99.357536315918,0.0551986312866211,0.00578805388053881,
NewReno,100.773536682129,0.0559852981567383,0.00587054270542705,
Cubic,220.625846862793,0.122569914923774,0.0128525156362675,
Bbr,19.4863128662109,0.0108257293701172,0.00113517135171352,

