Protocolo,Total_Tx,Throughput_Med,Throughput_Norm
Vegas++MLP23,635.642024993896,0.353134458329942,0.0370292020697985
Vegas++CNN123,142.08081817627,0.0789337878757053,0.0082768903244588
Vegas++CNN13,441.393291473389,0.245218495262994,0.0257132800216891
Vegas,50.9130821228027,0.0282850456237793,0.00296593165931659
NewReno,51.6311759948731,0.0286839866638184,0.00300776407764078
Cubic,111.67537689209,0.062041876051161,0.00650562727849501
Bbr,12.0834579467773,0.00671303219265408,0.000703919483639281
