Protocolo,Total_Tx,Throughput_Med,Throughput_Norm,Fluxo_ID,Fluxos
Vegas++MLP23,125.645809173584,0.0698032273186578,0.0073195087681834,Fluxo1,5
Vegas++MLP23,122.5061378479,0.0680589654710558,0.00713660691137887,Fluxo2,5
Vegas++MLP23,120.198787689209,0.0667771042717828,0.00700219200467491,Fluxo3,5
Vegas++MLP23,132.819595336914,0.0737886640760634,0.00773741837510888,Fluxo4,5
Vegas++MLP23,134.471694946289,0.0747064971923828,0.00783366159767452,Fluxo5,5
Vegas++CNN123,30.5429496765137,0.0169683053758409,0.0017792824880818,Fluxo6,5
Vegas++CNN123,26.3119354248047,0.0146177419026693,0.00153280434354689,Fluxo7,5
Vegas++CNN123,26.1647682189941,0.0145359823438856,0.00152423110373567,Fluxo8,5
Vegas++CNN123,30.6297607421875,0.0170165337456597,0.0017843396751106,Fluxo9,5
Vegas++CNN123,28.4314041137695,0.0157952245076497,0.00165627419705658,Fluxo10,5
Vegas++CNN13,91.4203071594238,0.0507890595330132,0.00532569883742772,Fluxo11,5
Vegas++CNN13,85.3839988708496,0.0474355549282498,0.00497405311413395,Fluxo12,5
Vegas++CNN13,87.5979461669922,0.048665525648329,0.00510302682804448,Fluxo13,5
Vegas++CNN13,86.9131507873535,0.048285083770752,0.00506313400695761,Fluxo14,5
Vegas++CNN13,90.0778884887695,0.0500432713826497,0.00524749610790531,Fluxo15,5
Vegas,10.1110954284668,0.00561727523803711,0.000589022842316665,Fluxo16,5
Vegas,10.3749732971191,0.00576387405395508,0.000604395073082134,Fluxo17,5
Vegas,9.82270431518555,0.00545705795288086,0.000572222590113967,Fluxo18,5
Vegas,10.423999786377,0.00579111099243164,0.000607251115956593,Fluxo19,5
Vegas,10.1803092956543,0.00565572738647461,0.000593054902845313,Fluxo20,5
NewReno,10.860912322998,0.00603384017944336,0.00063270349804368,Fluxo21,5
NewReno,10.5018653869629,0.00583436965942383,0.000611787184051321,Fluxo22,5
NewReno,10.3807411193848,0.0057670783996582,0.000604731078126188,Fluxo23,5
NewReno,9.94094467163086,0.00552274703979492,0.000579110693517073,Fluxo24,5
NewReno,9.94671249389648,0.00552595138549805,0.000579446698561127,Fluxo25,5
Cubic,27.4784126281738,0.0152657847934299,0.00160075758587231,Fluxo26,5
Cubic,24.2527770996094,0.0134737650553385,0.00141284787611293,Fluxo27,5
Cubic,19.1167907714844,0.0106204393174913,0.00111365049572084,Fluxo28,5
Cubic,19.3000602722168,0.0107222557067871,0.0011243268782152,Fluxo29,5
Cubic,21.5273361206055,0.0119596311781141,0.00125407704822622,Fluxo30,5
Bbr,3.250244140625,0.00180569118923611,0.000189343286835571,Fluxo31,5
Bbr,3.13141250610352,0.00173967361450195,0.000182420738470939,Fluxo32,5
Bbr,1.51848220825195,0.000843601226806641,8.84593279372775E-05,Fluxo33,5
Bbr,2.78884506225586,0.00154935836791992,0.000162464438890162,Fluxo34,5
Bbr,1.39447402954102,0.000774707794189453,8.12352194901174E-05,Fluxo35,5
Vegas++MLP23,104.019451141357,0.0577885839674208,0.00605966318891647,Fluxo36,10
Vegas++MLP23,110.387413024902,0.0613263405693902,0.00643062942446891,Fluxo37,10
Vegas++MLP23,103.714336395264,0.0576190757751465,0.00604188869986646,Fluxo38,10
Vegas++MLP23,104.64164352417,0.0581342464023166,0.00609590906636712,Fluxo39,10
Vegas++MLP23,104.411354064941,0.0580063078138563,0.00608249353164192,Fluxo40,10
Vegas++MLP23,117.125499725342,0.0650697220696343,0.00682315731703483,Fluxo41,10
Vegas++MLP23,104.387672424316,0.0579931513468425,0.00608111395537639,Fluxo42,10
Vegas++MLP23,90.3614730834961,0.0502008183797201,0.00526401635590463,Fluxo43,10
Vegas++MLP23,96.4937934875488,0.0536076630486382,0.00562125527427367,Fluxo44,10
Vegas++MLP23,103.162754058838,0.0573126411437988,0.00600975621749878,Fluxo45,10
Vegas++CNN123,25.2435417175293,0.0140241898430718,0.00147056496477485,Fluxo46,10
Vegas++CNN123,26.7428016662598,0.014857112036811,0.00155790449812417,Fluxo47,10
Vegas++CNN123,28.4271621704102,0.0157928678724501,0.00165602708223582,Fluxo48,10
Vegas++CNN123,25.2543640136719,0.0140302022298177,0.00147119541868357,Fluxo49,10
Vegas++CNN123,24.2636070251465,0.0134797816806369,0.00141347877447276,Fluxo50,10
Vegas++CNN123,26.2809677124023,0.0146005376180013,0.00153100031646512,Fluxo51,10
Vegas++CNN123,26.3953514099121,0.0146640841166178,0.00153766374982885,Fluxo52,10
Vegas++CNN123,24.714527130127,0.0137302928500705,0.00143974716880969,Fluxo53,10
Vegas++CNN123,28.8558464050293,0.0160310257805718,0.00168100012379379,Fluxo54,10
Vegas++CNN123,30.9076042175293,0.0171708912319607,0.00180052547364477,Fluxo55,10
Vegas++CNN13,90.408576965332,0.0502269872029622,0.00526676039709773,Fluxo56,10
Vegas++CNN13,83.3392715454102,0.0462995953030056,0.00485493732598679,Fluxo57,10
Vegas++CNN13,91.8059501647949,0.0510033056471083,0.00534816450801211,Fluxo58,10
Vegas++CNN13,86.0631904602051,0.0478128835890028,0.00501361948587577,Fluxo59,10
Vegas++CNN13,83.563663482666,0.04642425749037,0.00486800929999895,Fluxo60,10
Vegas++CNN13,84.0578155517578,0.0466987864176432,0.00489679617658738,Fluxo61,10
Vegas++CNN13,87.6400108337402,0.0486888949076335,0.00510547730927516,Fluxo62,10
Vegas++CNN13,81.715404510498,0.0453974469502767,0.00476033879477767,Fluxo63,10
Vegas++CNN13,84.5701065063477,0.0469833925035265,0.00492663973570523,Fluxo64,10
Vegas++CNN13,82.5035171508789,0.0458352873060438,0.00480625037288382,Fluxo65,10
Vegas,10.0332298278809,0.00557401657104492,0.000584486774221937,Fluxo66,10
Vegas,10.1384925842285,0.00563249588012695,0.000590618866275922,Fluxo67,10
Vegas,10.1327247619629,0.00562929153442383,0.000590282861231868,Fluxo68,10
Vegas,10.2221260070801,0.00567895889282227,0.000595490939414704,Fluxo69,10
Vegas,10.1875190734863,0.00565973281860352,0.00059347490915038,Fluxo70,10
Vegas,9.28773880004883,0.00515985488891602,0.000541058122277962,Fluxo71,10
Vegas,9.58478164672852,0.00532487869262695,0.000558362382046741,Fluxo72,10
Vegas,10.1875190734863,0.00565973281860352,0.00059347490915038,Fluxo73,10
Vegas,9.66985702514648,0.00537214279174805,0.000563318456446537,Fluxo74,10
Vegas,9.91354751586914,0.00550752639770508,0.000577514669557817,Fluxo75,10
NewReno,10.4903297424316,0.00582796096801758,0.000611115173963213,Fluxo76,10
NewReno,10.6258735656738,0.00590326309204102,0.000619011292498481,Fluxo77,10
NewReno,10.5191688537598,0.0058439826965332,0.000612795199183483,Fluxo78,10
NewReno,9.73618698120117,0.00540899276733398,0.000567182514453158,Fluxo79,10
NewReno,10.062068939209,0.00559003829956055,0.000586166799442206,Fluxo80,10
NewReno,10.2769203186035,0.00570940017700195,0.000598682987333217,Fluxo81,10
NewReno,9.8111686706543,0.00545064926147461,0.000571550580025859,Fluxo82,10
NewReno,9.74916458129883,0.00541620254516602,0.000567938525802279,Fluxo83,10
NewReno,9.79963302612305,0.00544424057006836,0.000570878569937751,Fluxo84,10
NewReno,9.70302200317383,0.00539056777954102,0.000565250485449848,Fluxo85,10
Cubic,25.0410194396973,0.0139116774664985,0.00145876700988806,Fluxo86,10
Cubic,23.9412612915039,0.0133007007175022,0.0013947004925762,Fluxo87,10
Cubic,26.3273735046387,0.0146263186136882,0.00153370369038107,Fluxo88,10
Cubic,20.485424041748,0.0113807911343045,0.00119338035927946,Fluxo89,10
Cubic,20.1752624511719,0.0112084791395399,0.0011753118658159,Fluxo90,10
Cubic,24.8725700378418,0.0138180944654677,0.00144895397368744,Fluxo91,10
Cubic,19.0874252319336,0.010604125128852,0.00111193980337353,Fluxo92,10
Cubic,20.9505615234375,0.0116392008463542,0.00122047698827194,Fluxo93,10
Cubic,20.6615142822266,0.0114786190456814,0.00120363851327322,Fluxo94,10
Cubic,19.0834350585937,0.0106019083658854,0.00111170735543961,Fluxo95,10
