#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
2921,0.17,0.169936,1,50439
11681,0.17,0.17,1,50439
16061,0.09,0.0916,1,50868
30661,0.37,0.366395,1,50874
58401,0.19,0.18936,1,51308
119721,0.23,0.223971,1,51737
128481,0.28,0.279359,1,51739
138701,0.37,0.365996,1,51745
183961,0.72,0.713968,2,51766
185421,0.73,0.726794,2,51766
186881,0.73,0.729359,2,51766
188341,0.73,0.729872,2,51766
189801,0.76,0.753974,2,51768
191261,0.77,0.766795,2,51768
192721,0.77,0.769359,2,51768
194181,0.77,0.769872,2,51768
195641,0.81,0.801974,2,51770
197101,0.82,0.816395,2,51770
198561,0.82,0.819279,2,51770
200021,0.82,0.819856,2,51770
201481,0.85,0.843971,2,51772
202941,0.86,0.856794,2,51772
204401,0.86,0.859359,2,51772
205861,0.86,0.859872,2,51772
227761,0.11,0.10936,1,52154
232961,0.07,0.087279,1,52165
253161,0.1,0.100001,1,52177
270841,0.11,0.109999,1,52190
302441,0.24,0.23872,1,52216
303901,0.24,0.239744,1,52216
305761,0.22,0.22399,1,52223
313061,0.23,0.229998,1,52223
321581,0.16,0.160127,1,52235
346761,0,1.40804e-06,1,52353
361721,0.03,0.02944,1,52589
374221,0.07,0.0699998,1,52598
384201,0.03,0.03,1,52612
401861,0.09,0.0848,1,52633
406241,0.09,0.0899584,1,52633
419541,0.17,0.167993,1,52644
427661,0.17,0.169936,1,52648
442661,0.05,0.05,1,52662
455121,0.03,0.0300379,1,52676
479261,0,5.888e-07,1,52791
480481,0,1.1776e-07,1,53014
484861,0,9.42079e-10,1,53014
504401,0,0.01312,1,53046
511701,0,4.1984e-06,1,53046
518961,0,1.34349e-09,1,53057
529181,0,1.71966e-14,1,53057
533321,0.03,0.02944,1,53068
548301,0.03,0.029936,1,53081
569101,0.14,0.139824,1,53093
581361,0.11,0.112,1,53106
601541,0,0.00569601,1,53225
608841,0,1.82272e-06,1,53225
617361,0,1.16654e-10,1,53444
651061,0,6.4e-07,1,53484
661241,0.03,0.02944,1,53493
669361,0.05,0.0499808,1,53500
677881,0,0.000399999,1,53516
689561,0,1.024e-09,1,53516
694521,0.11,0.1088,1,53523
716361,0.11,0.10904,1,53543
723221,0.07,0.0699997,1,53551
732161,0,0.001008,1,53658
742561,0.14,0.12896,1,53867
773781,0.05,0.0499942,1,53903
786481,0,2.5597e-08,1,53918
798741,0.14,0.139988,1,53927
802681,0.07,0.0702399,1,53937
823481,0.07,0.06936,1,53955
826401,0.07,0.0699744,1,53955
835141,0.03,0.03,1,53966
849501,0.03,0.0299999,1,53974
858001,0.18,0.144,1,53993
859461,0.19,0.1808,1,53993
869461,0,3.43245e-06,1,54086
883401,0.08,0.0800019,1,54310
890241,0.11,0.104,1,54323
901901,0.04,0.040064,1,54334
918981,0,4.09626e-09,1,54353
932701,0.1,0.0999996,1,54364
948501,0.07,0.0700019,1,54379
953901,0.05,0.049968,1,54391
963881,0.11,0.1092,1,54398
968261,0.11,0.109994,1,54398
981161,0.03,0.0300005,1,54410
989041,0,1.92001e-06,1,54427
996121,0,1.2288e-10,1,54520
1000501,0,9.83043e-13,1,54520
1021101,0,4.05708e-07,1,54752
1054161,0.07,0.0699648,1,54795
1067481,0.07,0.0699995,1,54803
1068941,0.07,0.0699999,1,54803
1085981,0.06,0.060119,1,54826
1106181,0.05,0.05,1,54836
1127161,0,3.72481e-05,1,54952
1141921,0.19,0.166,1,55175
1164601,0.07,0.0703891,1,55199
1172721,0,2.24249e-05,1,55209
1176661,0,1.79399e-07,1,55221
1180401,0,1.43519e-09,1,55231
1207261,0,7.52454e-23,1,55244
1220761,0.03,0.0304796,1,55266
1233861,0.15,0.1436,1,55270
1260081,0,1.90054e-06,1,55383
1277761,0.07,0.07,1,55614
1285241,0,0.00056,1,55625
1303121,0.1,0.087999,1,55640
1315821,0,9.58613e-05,1,55670
1341601,0.17,0.176,1,55686
1345981,0.18,0.179968,1,55686
1359701,0.15,0.1492,1,55704
1379901,0.07,0.0700001,1,55716
1390081,0,1.05626e-05,1,55816
1391541,0,2.11251e-06,1,55816
1404841,0.16,0.15864,1,56041
1406301,0.16,0.159728,1,56041
1427301,0.13,0.1272,1,56063
1438141,0.02,0.0200002,1,56074
1468481,0.02,0.0479995,1,56128
1486381,0.09,0.08984,1,56139
1510081,0.13,0.11,1,56157
1515701,0,0.0002144,1,56243
1547521,0.04,0.0579712,1,56494
1557741,0.05,0.0500001,1,56494
1570401,0.05,0.052,1,56516
1594541,0.03,0.029888,1,56549
1622401,0.12,0.106,1,56576
1631561,0,0.00103969,1,56588
1638861,0,3.32702e-07,1,56588
1642161,0,2.66161e-09,1,56657
1649441,0,1.70343e-13,1,56672
1652561,0.1,0.08,1,56879
1690841,0.07,0.0706432,1,56941
1699601,0.07,0.07,1,56941
1703941,0.06,0.0588,1,56953
1711021,0,4.72832e-05,1,56964
1737441,0.03,0.0300095,1,56991
1768861,0,2.30318e-07,1,57020
1786521,0.07,0.06912,1,57322
1787981,0.07,0.069824,1,57322
1790261,0.16,0.154793,1,57335
1794421,0,0.00635834,1,57350
1807521,0.01,0.008,1,57360
1808981,0.02,0.0176,1,57360
1817741,0.02,0.0199998,1,57360
1833121,0,3.51973e-05,1,57384
1848921,0,1.44168e-13,1,57406
1883461,0.09,0.0899981,1,57436
1890321,0,2.87994e-05,1,57447
1909461,0,6.3488e-07,1,57520
1921921,0,0.0429578,1,57780
1958541,0.05,0.050096,1,57811
1961461,0.05,0.0500038,1,57811
1962921,0.05,0.0500008,1,57811
1965601,0,0.01,1,57822
1972881,0,0.002,1,57831
1981201,0,1.28e-07,1,57840
1985581,0,1.024e-09,1,57840
2004501,0.08,0.0752006,1,57857
2015941,0,0.00120002,1,57876
2033201,0,0.000143667,1,57948
2043601,0.02,0.016,1,58165
2072721,0.04,0.04,1,58227
2088741,0.18,0.1764,1,58240
2111201,0,0.00799987,1,58269
2121601,0,2.04797e-08,1,58278
2131821,0,2.6214e-13,1,58278
2143861,0.03,0.0331999,1,58305
2152621,0.03,0.0300002,1,58305
2158841,0.07,0.06936,1,58313
2167581,0,0.000111959,1,58379
2173421,0,1.79134e-07,1,58379
2181921,0.04,0.0599424,1,58644
2197741,0.14,0.139792,1,58649
2207921,0.02,0.0439974,1,58673
2232281,0.01,0.00999974,1,58685
2248721,0.01,0.00999998,1,58696
2283441,0,8.51967e-11,1,58746
2301541,0.07,0.069993,1,58807
2308181,0.03,0.027312,1,59066
2314841,0.09,0.0891991,1,59073
2326081,0.01,0.0100128,1,59083
2330461,0.01,0.0100001,1,59083
2338961,0.04,0.0320006,1,59105
2365201,0,2.56e-08,1,59117
2384101,0.09,0.0848,1,59136
2393041,0.08,0.0739999,1,59153
2420101,0,2.04852e-10,1,59185
2427161,0,6.55527e-14,1,59239
2431541,0,5.24421e-16,1,59239
2445061,0.11,0.10999,1,59503
2452541,0.11,0.109936,1,59511
2459601,0,0.022,1,59527
2472501,0,0.00872,1,59542
2473961,0,0.001744,1,59542
2490181,0.17,0.1616,1,59547
