#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
20215721,0.18368796,0.031001383,0.8967612,0.00904392764857881,0.205968,0.17,1,176600,176157,443,0.18,0.178332,1,176181
31661761,0.08247409,0.11211903,0.8643725,0.006459948320413436,0.0485254,0.03,1,291534,291107,427,0.11,0.110327,1,291134
10502341,0.26242173,0.0037554216,0.9149797,1.3290882244370616,0.11288,0.08,1,66316,65864,452,0.01,0.0151986,1,65905
3887521,0.03427028,0.0028853682,0.9473683,0.49280177187153934,0.677474,0.75,1,74876,74408,468,0.75,0.744,2,74426
11269041,0.034068864,0.027717018,0.8866396,0.1005906238464378,0.418397,0.47,1,94136,93698,438,0.28,0.27999,1,93708
10254001,0.45149916,0.43036032,0.9372469,1.2977113325950536,0.710239,0.8,1,76065,75602,463,0.74,0.740004,2,75612
14984281,0.03155502,0.031489424,0.85829955,0.014581026208933185,0.210001,0.03,1,237926,237502,424,0.05,0.0516607,1,237514
7285841,0.043999303,0.02807502,0.9352227,0.9224806201550387,0.724557,0.82,1,76240,75778,462,0.73,0.729978,2,75788
22799921,0.24683206,0.13660868,0.8866396,0.01347360649686231,0.2565,0.03,1,195128,194690,438,0.0,3.19795e-05,1,194717
17646721,0.031524267,0.028937595,0.9453441,0.16795865633074936,0.551968,0.73,1,95252,94785,467,0.71,0.710002,2,94802
45421201,0.12777117,0.13368042,0.9068826,0.008121077888519748,0.609987,0.39,1,341335,340887,448,0.4,0.398333,1,340905
29353901,0.3454078,0.016999926,0.9372469,0.007382798080472499,0.425737,0.31,1,244852,244389,463,0.32,0.318387,1,244426
14526101,0.031545244,0.031486593,0.85829955,0.01107419712070875,0.69,0.03,1,110470,110046,424,0.04,0.0383333,1,110058
16578481,0.095674194,0.36748475,0.8603239,0.008305647840531562,0.387733,0.11,1,213870,213445,425,0.03,0.0359667,1,213474
28443921,0.19429503,0.16887361,0.9089068,0.016057585825027684,0.369539,0.33,1,162295,161846,449,0.29,0.289572,1,161871
12067761,0.03554108,0.04990877,0.88461536,0.009597637504614249,0.328791,0.29,1,213707,213270,437,0.3,0.298334,1,213282
32628281,0.23658933,0.23614945,0.91700405,0.008121077888519748,0.77,0.35,2,299418,298965,453,0.4,0.396544,1,298988
52141121,0.36647528,0.35205787,0.88461536,0.009228497600590625,0.609993,0.31,1,443203,442766,437,0.27,0.279506,1,442796
819521,0.031545244,0.017639734,0.8744939,0.1050203026947213,0.121602,0.14,1,44333,43901,432,0.04,0.0619936,1,43921
3764801,0.07200376,0.025314432,0.8765182,0.4774824658545589,0.0512425,0.21,1,64232,63799,433,0.04,0.0539968,1,63820
13126061,0.12229791,0.46701387,0.85829955,0.021225544481358435,0.669712,0.01,1,126823,126399,424,0.04,0.039967,1,126409
4724741,0.046218988,0.078764334,0.9372469,0.5987449243263196,0.678993,0.82,1,77817,77354,463,0.73,0.729997,2,77364
172281,0.031545244,0.00524776,0.9291498,0.023255813953488372,0.365983,0.53,1,62201,61742,459,0.74,0.733974,2,61754
12992721,0.051339254,0.112307794,0.9412955,1.6439645625692136,0.747661,0.78,1,75025,74560,465,0.79,0.787952,2,74622
3872961,0.030097159,0.011633177,0.94331986,0.491140642303433,0.70542,0.8,1,74731,74265,466,0.71,0.72,2,74418
18098621,0.071676634,0.06902145,0.8967612,0.00904392764857881,0.828622,0.43,2,214334,213891,443,0.39,0.399665,1,213911
5072721,0.036108103,0.030279867,0.9291498,0.642672572905131,0.708272,0.85,1,79082,78623,459,0.71,0.71,2,78633
7681281,0.13856184,0.13844292,0.92712545,0.007567368032484312,0.883685,0.73,2,114965,114507,458,0.73,0.731667,2,114525
33479201,0.19969717,0.19592375,0.8765182,0.006275378368401624,0.645776,0.23,1,362126,361693,433,0.23,0.231527,1,361727
48693921,0.40816548,0.4252233,0.8704453,0.005352528608342562,0.463536,0.17,1,458094,457664,430,0.19,0.187808,1,457690
10325121,0.19512625,0.34811574,0.9068826,0.009228497600590625,0.899024,0.46,2,197488,197040,448,0.36,0.377513,1,197063
9844021,0.033666663,0.012098928,0.9473683,1.2458471760797343,0.834316,0.81,2,74380,73912,468,0.74,0.7408,2,73931
25991701,0.031545244,0.020662446,0.8987854,0.01716500553709856,0.65119,0.42,1,267061,266617,444,0.39,0.390005,1,266627
11703961,0.26813456,0.3935824,0.9412955,1.4809892949427834,0.96,0.93,2,81289,80824,465,0.83,0.830239,2,80834
4060881,0.15907004,0.13358109,0.9291498,0.009413067552602437,0.885551,0.73,2,114969,114510,459,0.73,0.735347,2,114527
14233241,0.11987192,0.076681025,0.9352227,1.8006644518272426,0.66166,0.69,1,79361,78899,462,0.79,0.7884,2,78909
8138421,0.037606347,0.033475757,0.9412955,1.0302694721299372,0.757903,0.86,2,79274,78809,465,0.73,0.731593,2,78826
8141341,0.032757524,0.09485761,0.93117404,1.0306386120339608,0.719581,0.86,1,79276,78816,460,0.73,0.730064,2,78826
36543481,0.19747007,0.21758337,0.8805668,0.008305647840531562,0.0650607,0.03,1,258668,258233,435,0.04,0.0390992,1,258256
833061,0.03155739,0.020332782,0.93319833,0.10668143226282761,0.854372,0.78,2,74520,74059,461,0.7,0.700001,2,74069
36550941,0.16288702,0.19281287,0.8825911,0.006644518272425249,0.790258,0.31,2,334278,333842,436,0.27,0.275999,1,333861
24476061,0.186363,0.23649423,0.85425097,0.012181616832779624,0.654872,0.07,1,304162,303740,422,0.0,0.00065205,1,303750
