#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
140161,28.5713,28.5713,600,40880,0,0,1,35800,35200,600,0.0319862,0.0342588,0.688508,1
159141,1.42856,1.42856,600,39420,0,0,1,35800,35200,600,0.00159931,0.00171294,0.688508,1
179581,570.071,570.071,600,49859,0,0,1,36400,35800,600,0.638209,0.683554,0.688508,1
181041,1548.5,1548.5,600,1460,0,0,1,38000,37400,600,1.73359,1.85676,0.688508,2
267181,647.425,647.425,600,59860,0,0,1,38600,38000,600,0.724809,0.776306,0.688508,1
349961,1552.37,1552.37,600,1460,0,0,1,40200,39600,600,1.73792,1.8614,0.688508,2
427941,1597.62,1597.62,600,1460,0,0,1,41800,41200,600,1.78857,1.91565,0.688508,2
455681,649.881,649.881,600,64240,0,0,1,42400,41800,600,0.727558,0.779251,0.688508,1
465901,32.4941,32.4941,600,68620,0,0,1,42400,41800,600,0.0363779,0.0389625,0.688508,1
471741,1.6247,1.6247,600,73000,0,0,1,42400,41800,600,0.0018189,0.00194813,0.688508,1
477581,0.0812352,0.0812352,600,77380,0,0,1,42400,41800,600,9.09448e-05,9.74064e-05,0.688508,1
480481,0.00406176,0.00406176,600,81760,0,0,1,42400,41800,600,4.54724e-06,4.87032e-06,0.688508,1
519901,575.7,575.7,600,60480,0,0,1,43006,42406,600,0.644511,0.690303,0.688508,1
521361,28.785,28.785,600,42960,0,0,1,43006,42406,600,0.0322255,0.0345152,0.688508,1
533041,1.43925,1.43925,600,43800,0,0,1,43006,42406,600,0.00161128,0.00172576,0.688508,1
543261,0.0719626,0.0719626,600,37120,0,0,1,43006,42406,600,8.05639e-05,8.62879e-05,0.688508,1
568701,564.304,564.304,600,36500,0,0,1,43600,43000,600,0.631752,0.676638,0.688508,1
571621,28.2152,28.2152,600,90520,0,0,1,43600,43000,600,0.0315876,0.0338319,0.688508,1
574541,1.41076,1.41076,600,94900,0,0,1,43600,43000,600,0.00157938,0.00169159,0.688508,1
577461,0.070538,0.070538,600,99280,0,0,1,43600,43000,600,7.89691e-05,8.45798e-05,0.688508,1
580381,5.70353,5.70353,600,103660,0,0,1,43606,43006,600,0.00638524,0.00683891,0.688508,1
583301,0.285176,0.285176,600,108040,0,0,1,43606,43006,600,0.000319262,0.000341946,0.688508,1
586221,0.0142588,0.0142588,600,112420,0,0,1,43606,43006,600,1.59631e-05,1.70973e-05,0.688508,1
589141,0.000712941,0.000712941,600,116800,0,0,1,43606,43006,600,7.98156e-07,8.54864e-07,0.688508,1
592061,3.56471e-05,3.56471e-05,600,121180,0,0,1,43606,43006,600,3.99078e-08,4.27432e-08,0.688508,1
593521,190,1.78235e-06,800,125560,0,0,1,43806,43006,800,0.21271,2.13716e-09,0.91801,2
