#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
1156521,0.0809282,0.0809282,600,186880,0,0,1,55814,55214,600,9.06011e-05,9.70383e-05,0.688508,1
1158561,0.00404641,0.00404641,600,191260,0,0,1,55814,55214,600,4.53006e-06,4.85192e-06,0.688508,1
1166061,1145.7,1145.7,600,1460,0,0,1,57020,56420,600,1.28264,1.37377,0.688508,2
1170441,627.285,627.285,600,195640,0,0,1,57620,57020,600,0.702261,0.752157,0.688508,1
1279941,31.3643,31.3643,600,200020,0,0,1,57620,57020,600,0.0351131,0.0376078,0.688508,1
1289601,1.56821,1.56821,600,204400,0,0,1,57620,57020,600,0.00175565,0.00188039,0.688508,1
1292521,12.4284,12.4284,600,208780,0,0,1,57633,57033,600,0.0139139,0.0149025,0.688508,1
1295441,0.621421,0.621421,600,213160,0,0,1,57633,57033,600,0.000695696,0.000745125,0.688508,1
1296881,190.031,0.031071,800,217540,0,0,1,57833,57033,800,0.212745,3.72562e-05,0.91801,2
1299801,392.352,572.852,600,61320,0,0,1,58236,57636,600,0.439247,0.686887,0.688508,1
1302721,19.6176,28.6426,600,65700,0,0,1,58236,57636,600,0.0219624,0.0343444,0.688508,1
1304181,0.980879,1.43213,600,70080,0,0,1,58236,57636,600,0.00109812,0.00171722,0.688508,1
1312941,570.049,570.072,600,53660,0,0,1,58836,58236,600,0.638184,0.683554,0.688508,1
1333381,28.5025,28.5036,600,59480,0,0,1,58836,58236,600,0.0319092,0.0341777,0.688508,1
1337761,1.42512,1.42518,600,59860,0,0,1,58836,58236,600,0.00159546,0.00170889,0.688508,1
1346521,0.0712562,0.071259,600,59860,0,0,1,58836,58236,600,7.97731e-05,8.54443e-05,0.688508,1
1356741,0.00356281,0.00356295,600,59860,0,0,1,58836,58236,600,3.98865e-06,4.27222e-06,0.688508,1
1403461,1520,1520,600,1460,0,0,1,60436,59836,600,1.70168,1.82258,0.688508,2
1460021,1596,1596,600,1460,0,0,1,62036,61436,600,1.78676,1.91371,0.688508,2
1510561,649.8,649.8,600,70080,0,0,1,62636,62036,600,0.727467,0.779154,0.688508,1
1534001,32.49,32.49,600,74460,0,0,1,62636,62036,600,0.0363734,0.0389577,0.688508,1
1536921,13.0245,13.0245,600,78840,0,0,1,62648,62048,600,0.0145813,0.0156172,0.688508,1
1538381,0.651225,0.651225,600,83220,0,0,1,62648,62048,600,0.000729063,0.000780862,0.688508,1
1590161,1520.03,1520.03,600,1460,0,0,1,64248,63648,600,1.70171,1.82262,0.688508,2
1715921,1596,1596,600,1460,0,0,1,65848,65248,600,1.78676,1.91371,0.688508,2
1721201,649.8,649.8,600,83220,0,0,1,66448,65848,600,0.727467,0.779154,0.688508,1
