#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
3828861,60.7882,60.7882,600,227760,0,0,1,105111,104511,600,0.0680539,0.0728891,0.688508,1
3842001,3.03941,3.03941,600,232140,0,0,1,105111,104511,600,0.00340269,0.00364445,0.688508,1
3858061,0.15197,0.15197,600,236520,0,0,1,105111,104511,600,0.000170135,0.000182223,0.688508,1
3908321,570.008,570.008,600,240900,0,0,1,105711,105111,600,0.638138,0.683477,0.688508,1
3911241,39.9004,39.9004,600,245280,0,0,1,105723,105123,600,0.0446695,0.0478432,0.688508,1
3914161,1.99502,1.99502,600,249660,0,0,1,105723,105123,600,0.00223347,0.00239216,0.688508,1
3917081,0.099751,0.099751,600,254040,0,0,1,105723,105123,600,0.000111674,0.000119608,0.688508,1
3920001,0.00498755,0.00498755,600,258420,0,0,1,105723,105123,600,5.58369e-06,5.98041e-06,0.688508,1
3922921,0.000249378,0.000249378,600,262800,0,0,1,105723,105123,600,2.79185e-07,2.9902e-07,0.688508,1
3925841,1.24689e-05,1.24689e-05,600,267180,0,0,1,105723,105123,600,1.39592e-08,1.4951e-08,0.688508,1
3928761,6.23444e-07,6.23444e-07,600,271560,0,0,1,105723,105123,600,6.97962e-10,7.47551e-10,0.688508,1
3931681,3.11722e-08,3.11722e-08,600,275940,0,0,1,105723,105123,600,3.48981e-11,3.73776e-11,0.688508,1
3934601,1.55861e-09,1.55861e-09,600,280320,0,0,1,105723,105123,600,1.7449e-12,1.86888e-12,0.688508,1
4029281,1520,1520,600,1460,0,0,1,107323,106723,600,1.70168,1.82258,0.688508,2
4039501,646,646,600,284700,0,0,1,107923,107323,600,0.723213,0.774597,0.688508,1
4065361,32.3,32.3,600,289080,0,0,1,107923,107323,600,0.0361607,0.0387299,0.688508,1
4068281,6.365,6.365,600,293460,0,0,1,107928,107328,600,0.00712578,0.00763206,0.688508,1
4071201,0.31825,0.31825,600,297840,0,0,1,107928,107328,600,0.000356289,0.000381603,0.688508,1
4074121,0.0159125,0.0159125,600,302220,0,0,1,107928,107328,600,1.78145e-05,1.90802e-05,0.688508,1
4077041,0.000795626,0.000795626,600,306600,0,0,1,107928,107328,600,8.90723e-07,9.54008e-07,0.688508,1
4078501,570,570,600,65180,0,0,1,108528,107928,600,0.638129,0.683468,0.688508,1
4098941,28.5,28.5,600,66900,0,0,1,108528,107928,600,0.0319065,0.0341734,0.688508,1
4100401,1.425,1.425,600,56680,0,0,1,108528,107928,600,0.00159532,0.00170867,0.688508,1
4106241,0.0712501,0.0712501,600,55220,0,0,1,108528,107928,600,7.97662e-05,8.54336e-05,0.688508,1
4107701,0.0035625,0.0035625,600,55220,0,0,1,108528,107928,600,3.98831e-06,4.27168e-06,0.688508,1
4110621,0.000178125,0.000178125,600,53760,0,0,1,108528,107928,600,1.99416e-07,2.13584e-07,0.688508,1
4113541,8.90626e-06,8.90626e-06,600,55220,0,0,1,108528,107928,600,9.97078e-09,1.06792e-08,0.688508,1
4123761,4.45313e-07,4.45313e-07,600,53760,0,0,1,108528,107928,600,4.98539e-10,5.3396e-10,0.688508,1
4161461,1520,1520,600,1460,0,0,1,110128,109528,600,1.70168,1.82258,0.688508,2
4177521,646,646,600,310980,0,0,1,110728,110128,600,0.723213,0.774597,0.688508,1
4192121,32.3,32.3,600,315360,0,0,1,110728,110128,600,0.0361607,0.0387299,0.688508,1
4195041,1.615,1.615,600,319740,0,0,1,110728,110128,600,0.00180803,0.00193649,0.688508,1
