#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),rtt_ratio_real,ack_ewma,send_ack_ewma_norm,rtt_ratio_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
569401,1746.05,1633.02,1752,1460,2.72049689440994,0.944285505686643,0.873520302545641,0.948051948051948,0.925163,0,2,624974,623222,1752
585461,1801.2,1823.93,1800,1460,2.79503105590062,0.974111310009897,0.975640154696251,0.974025974025974,0.934335,0,2,644318,642518,1800
586921,1731.66,1801.2,1728,1460,2.6832298136646,0.936503215129768,0.963481628482939,0.935064935064935,0.931734,0,2,646046,644318,1728
594221,1549.26,1801.13,1536,1460,2.38509316770186,0.837859031837627,0.963444184715454,0.831168831168831,0.77684,0,2,654758,653222,1536
595681,1513.86,1549.26,1512,1460,2.34782608695652,0.81871427258027,0.828716160195136,0.818181818181818,0.712736,0,2,656270,654758,1512
597141,1443.69,1513.86,1440,1460,2.2360248447205,0.780765465882849,0.809780312067056,0.779220779220779,0.711094,0,2,657710,656270,1440
605901,1700.34,1630.79,1704,1460,2.64596273291925,0.919564970498683,0.872327451095765,0.922077922077922,0.914223,0,2,667262,665558,1704
607361,1772.22,1700.34,1776,1460,2.75776397515528,0.958438566414468,0.909530508646836,0.961038961038961,0.947689,0,2,669038,667262,1776
616121,1701.5,1653.91,1704,1460,2.64596273291925,0.920192312892427,0.884694592585064,0.922077922077922,0.920307,0,2,679358,677654,1704
617581,1772.27,1701.5,1776,1460,2.75776397515528,0.958465607034888,0.910151005365157,0.961038961038961,0.938123,0,2,681134,679358,1776
629261,1747.13,1654.56,1752,1460,2.72049689440994,0.944869583087714,0.88504228471171,0.948051948051948,0.91432,0,2,694478,692726,1752
635101,1801.19,1823.82,1800,1460,2.79503105590062,0.974105901885813,0.975581314490203,0.974025974025974,0.917503,0,2,701678,699878,1800
639481,1155.67,1225.44,1152,1460,1.7888198757764,0.625000676015511,0.655501291809978,0.623376623376624,0.45304,0,1,705734,704582,1152
649701,1464.9,1481.98,1464,1460,2.27329192546584,0.792236097065011,0.792727350532504,0.792207792207792,0.733683,0,2,715046,713582,1464
652621,1559.76,1555.24,1560,1460,2.42236024844721,0.843537562125825,0.831914927760274,0.844155844155844,0.788189,0,2,718166,716606,1560
661381,1823.76,1819.24,1824,1460,2.83229813664596,0.986312037943399,0.973131422274762,0.987012987012987,0.913397,0,2,728534,726710,1824
667221,1367.24,1352.84,1368,1460,2.12422360248447,0.739420357260677,0.7236489486325,0.74025974025974,0.704455,0,2,734438,733070,1368
668681,1527.56,1367.24,1536,1460,2.38509316770186,0.826123402575349,0.731351666515109,0.831168831168831,0.731782,0,2,735974,734438,1536
670141,1535.58,1527.56,1536,1460,2.38509316770186,0.830460718090716,0.817108592274816,0.831168831168831,0.790713,0,2,737510,735974,1536
674521,1724.33,1654.56,1728,1460,2.6832298136646,0.932539060176197,0.88504228471171,0.935064935064935,0.920606,0,2,742526,740798,1728
677441,1798.67,1773.42,1800,1460,2.79503105590062,0.972743054616645,0.948621801901074,0.974025974025974,0.926097,0,2,746102,744302,1800
683281,1681.21,1704.13,1680,1460,2.60869565217391,0.909219229125993,0.911557821200661,0.909090909090909,0.790124,0,2,752942,751262,1680
692041,1798.78,1775.64,1800,1460,2.79503105590062,0.972802543981569,0.949809304241309,0.974025974025974,0.928765,0,2,763070,761270,1800
702261,1486.44,1456.87,1488,1460,2.31055900621118,0.803885196341945,0.779295736224705,0.805194805194805,0.72458,0,2,773222,771734,1488
703721,1533.52,1486.44,1536,1460,2.38509316770186,0.829346644529412,0.795113053432256,0.831168831168831,0.763832,0,2,774758,773222,1536
709561,1679.87,1677.47,1680,1460,2.60869565217391,0.908494540498737,0.897297094898554,0.909090909090909,0.913746,0,2,781334,779654,1680
711021,1771.19,1679.87,1776,1460,2.75776397515528,0.957881529633816,0.898580881212322,0.961038961038961,0.935498,0,2,783110,781334,1776
725621,1486.68,1461.53,1488,1460,2.31055900621118,0.804014991319961,0.781788421317272,0.805194805194805,0.739092,0,2,797798,796310,1488
727081,1556.33,1486.68,1560,1460,2.42236024844721,0.841682575565014,0.795241432063633,0.844155844155844,0.769637,0,2,799358,797798,1560
732921,1726.67,1701.42,1728,1460,2.6832298136646,0.933804561211853,0.910108212488031,0.935064935064935,0.938183,0,2,806030,804302,1728
751901,1205.83,1316.53,1200,1460,1.86335403726708,0.652127826420849,0.704226331527117,0.649350649350649,0.43511,0,1,827678,826478,1200
765041,1486.62,1460.39,1488,1460,2.31055900621118,0.803982542575457,0.781178622818232,0.805194805194805,0.749944,0,2,839414,837926,1488
766501,1579.13,1486.62,1584,1460,2.45962732919255,0.854013098476532,0.795209337405789,0.857142857142857,0.761977,0,2,840998,839414,1584
772341,1747.13,1654.62,1752,1460,2.72049689440994,0.944869583087714,0.885074379369554,0.948051948051948,0.914179,0,2,847598,845846,1752
789861,1508.21,1436.22,1512,1460,2.34782608695652,0.815658682472811,0.768249824816659,0.818181818181818,0.702936,0,2,865166,863654,1512
797161,1726.67,1701.41,1728,1460,2.6832298136646,0.933804561211853,0.910102863378391,0.935064935064935,0.913812,0,2,873326,871598,1728
801541,1801.02,1820.34,1800,1460,2.79503105590062,0.974013963776385,0.973719824335239,0.974025974025974,0.944324,0,2,878702,876902,1800
803001,1754.45,1801.02,1752,1460,2.72049689440994,0.948828329917202,0.963385344509406,0.948051948051948,0.93573,0,2,880454,878702,1752
804461,1752.12,1754.45,1752,1460,2.72049689440994,0.94756823700563,0.938474540912665,0.948051948051948,0.932292,0,2,882206,880454,1752
