x,y,z
32.3531,91.6381,0.0645366
31.309,80.1834,0.0827195
30.3953,73.1604,0.10363
29.5959,64.0154,0.126926
28.8964,59.0135,0.15231
30.5344,51.6368,0.174521
29.7176,62.4322,0.198956
29.0029,54.6282,0.225337
28.3775,50.7996,0.25342
27.8303,44.4497,0.282992
27.3515,41.8935,0.313868
26.9326,36.6568,0.345885
26.566,35.0747,0.372649
26.2453,30.6904,0.391068
25.9646,29.8541,0.402184
25.719,26.1223,0.406911
25.5042,25.857,0.406047
25.3161,22.6249,0.400292
25.1516,22.7968,0.390255
25.0077,19.9472,0.376473
24.8817,20.4538,0.359414
24.7715,17.8971,0.339487
24.6751,18.6599,0.317051
24.5907,16.3274,0.29242
24.5168,19.5365,0.265867
24.4522,17.0944,0.237634
24.3957,17.9576,0.20793
24.3462,15.7129,0.181939
24.303,16.7488,0.159196
24.2651,14.6552,0.139297
24.232,15.8233,0.121885
24.203,13.8454,0.106649
24.1776,15.1147,0.0933179
24.1554,13.2254,0.0816532
24.136,14.5722,0.0714465
24.119,12.7507,0.0625157
47.2291,14.1568,0.0547012
11.3487,0.0120442,0.998713
11.4301,0.0105387,0.985124
10.1263,0.00922137,0.971983
10.3605,0.0080687,0.954235
9.69047,0.00706011,0.941206
9.97916,0.0061776,0.927305
10.2318,0.0054054,0.916392
9.20279,0.00472972,0.909343
9.55244,0.00413851,0.900675
9.85839,0.0036212,0.894341
8.87609,0.00316855,0.891298
9.26658,0.00277248,0.886136
9.60826,0.00242592,0.882869
8.65722,0.00212268,0.88251
9.07507,0.00185734,0.879696
9.44069,0.00162518,0.878484
8.5106,0.00142203,0.878674
8.94678,0.00124427,0.87759
8.45343,0.00108874,0.879141
8.89675,0.000952648,0.877998
9.28466,0.000833567,0.878249
8.37407,0.000729371,0.880967
8.82732,0.0006382,0.879597
9.2239,0.000558425,0.874647
8.32091,0.000488622,0.872816
8.7808,0.000427544,0.867464
7.9332,0.000374101,0.865281
8.44155,0.000327338,0.859621
8.01136,0.000286421,0.839668
8.50994,0.000250618,0.81971
8.94619,0.000219291,0.802246
8.07792,0.00019188,0.788215
8.56818,0.000167895,0.772188
8.99716,0.000146908,0.756915
8.12251,0.000128544,0.74605
8.6072,0.000112476,0.732794
9.0313,0.0000984168,0.718695
8.15239,0.0000861147,0.708858
8.63334,0.0000753504,0.696501
9.05417,0.0000659316,0.686938
8.1724,0.0000576901,0.681071
8.65085,0.0000504789,0.673437
8.19449,0.000044169,0.668007
8.67018,0.0000386479,0.660756
9.08641,0.0000338169,0.654412
8.20061,0.0000295898,0.65136
8.67553,0.0000258911,0.64744
9.09109,0.0000226547,0.64401
8.2047,0.0000198228,0.643509
8.67912,0.000017345,0.64182
7.84423,0.0000151769,0.642843
7.8637,0.0000132798,0.642487
8.38074,0.0000116198,0.639677
8.83314,0.0000101673,0.635967
9.229,0.0000088964,0.630221
9.57538,0.00000778435,0.622693
9.87845,0.00000681131,0.613607
10.1436,0.00000595989,0.603156
10.3757,0.00000521491,0.591511
10.5787,0.00000456304,0.578822
10.7564,0.00000399266,0.56522
10.9118,0.00000349358,0.550817
11.0479,0.00000305688,0.535715
11.1669,0.00000267477,0.520001
11.271,0.00000234043,0.503751
11.3621,0.00000204787,0.487032
11.4419,0.00000179189,0.469903
11.5116,0.0000015679,0.452415
11.5727,0.00000137191,0.434613
11.6261,0.00000120043,0.416536
11.6728,0.00000105037,0.398219
11.7137,0.000000919076,0.379692
11.7495,0.000000804191,0.35973
11.7808,0.000000703667,0.339764
11.8082,0.000000615709,0.318544
11.8322,0.000000538745,0.297476
11.8532,0.000000471402,0.276541
11.8715,0.000000412477,0.255724
11.8876,0.000000360917,0.235008
11.9016,0.000000315803,0.214382
11.9139,0.000000276327,0.193834
11.9247,0.000000241786,0.173355
11.9341,0.000000211563,0.152936
11.9423,0.000000185118,0.133819
11.9495,0.000000161978,0.117091
11.9559,0.000000141731,0.102455
11.9614,0.000000124014,0.0896481
11.9662,0.000000108513,0.0784421
11.9704,0.0000000949485,0.0686368
11.9741,0.0000000830799,0.0600572
11.9774,0.0000000726949,0.0525501
10.7302,0.0000000636081,0.0459813
10.8889,0.0000000556571,0.0402336
11.0278,0.0000000486999,0.0352044
9.89932,0.0000000426124,0.0308039
10.1619,0.0000000372859,0.0269534
10.3917,0.0000000326252,0.0235842
10.5927,0.000000028547,0.0206362
10.7686,0.0000000249786,0.0180567
10.9225,0.0000000218563,0.0157996
11.0572,0.0000000191243,0.0138246
11.1751,0.0000000167337,0.0120966
11.2782,0.000000014642,0.0105845
11.3684,0.0000000128118,0.00926143
30.0724,303.25,0.00810375
55.5633,294.594,0.00709078
50.1179,257.77,0.0649544
73.9782,255.673,0.0668351
67.7309,223.714,0.0734807
62.2645,195.75,0.0830456
57.4815,171.281,0.0964149
53.2963,149.871,0.113113
49.6342,131.137,0.132724
46.43,114.745,0.154883
43.6262,100.402,0.179273
41.1729,87.8516,0.205614
39.0263,76.8702,0.233662
37.148,67.2614,0.263204
35.5045,58.8537,0.294054
32.8165,52.122,0.328547
31.7144,75.7318,0.358729
30.7501,66.2653,0.385138
29.9063,60.9821,0.408245
29.168,53.3594,0.428465
28.522,49.6894,0.446157
27.9568,43.4783,0.461637
27.4622,41.0435,0.475182
27.0294,35.913,0.487035
26.6507,34.4239,0.497405
26.3194,30.1209,0.50648
26.0295,29.3558,0.51692
25.7758,25.6863,0.526055
25.5538,25.4755,0.534048
25.3596,22.2911,0.541042
25.1896,22.5047,0.547162
25.0409,19.6916,0.552516
24.9108,20.2302,0.557202
24.797,17.7014,0.561302
24.6973,18.4887,0.564889
24.6102,16.1776,0.568028
24.5339,17.1554,0.573274
24.4672,15.011,0.577865
24.4088,16.1346,0.581882
24.3577,14.1178,0.585397
24.313,14.1031,0.588472
24.2738,15.3402,0.591163
24.2396,16.4227,0.593518
24.2097,17.3698,0.595578
24.1835,18.1986,0.597381
24.1605,18.9238,0.598958
24.1405,19.5583,0.602838
24.1229,20.1135,0.606234
24.1075,20.5993,0.609204
24.0941,21.0244,0.611804
24.0823,21.3964,0.614078
24.072,21.7218,0.616069
24.063,22.0066,0.61781
24.0552,22.2558,0.619334
24.0483,22.4738,0.619417
24.0422,22.6646,0.61449
24.037,22.8315,0.605179
24.0323,22.9776,0.592031
24.0283,23.1054,0.575527
24.0248,23.2172,0.556086
24.0217,23.315,0.534076
24.019,20.4007,0.509816
24.0166,20.8506,0.483589
24.0145,21.2443,0.455641
24.0127,21.5887,0.426185
24.0111,21.8901,0.395412
24.0097,22.1539,0.363486
24.0085,22.3846,0.33055
24.0074,22.5866,0.296731
24.0065,22.7632,0.26214
24.0057,22.9178,0.229372
24.005,23.0531,0.200701
24.0044,23.1715,0.175613
24.0038,23.275,0.153662
24.0033,23.3657,0.134454
24.0029,23.4449,0.117647
24.0026,23.5143,0.102941
24.0022,23.575,0.0900736
24.002,23.6282,0.0788144
22.7517,23.6746,0.0689626
83.9077,130.715,0.146592
76.4193,114.376,0.214518
69.8669,100.079,0.273953
64.1335,87.569,0.325959
59.1168,76.6229,0.371464
54.7272,67.045,0.411281
50.8863,58.6644,0.448621
47.5255,51.3314,0.481294
44.5848,44.9149,0.509882
42.0117,39.3006,0.534897
39.7603,34.388,0.556785
37.7902,30.0895,0.575936
36.0665,26.3283,0.592694
34.5581,23.0373,0.607358
33.2384,20.1576,0.620188
32.0836,17.6379,0.631414
31.0731,15.4332,0.639988
30.189,13.504,0.649989
29.4154,11.816,0.659991
28.7384,10.339,0.668742
28.1461,9.04664,0.676399
27.6279,7.91581,0.683099
27.1744,6.92634,0.688962
26.7776,6.06054,0.694091
26.4304,5.30298,0.69858
26.1266,4.6401,0.702508
25.8608,4.06009,0.708444
25.6282,3.55258,0.713639
25.4247,33.8585,0.718184
25.2466,32.6262,0.722161
25.0907,31.5479,0.725641
24.9544,30.6044,0.728686
24.8351,29.7789,0.73135
24.7307,29.0565,0.736181
24.6394,28.4245,0.740409
24.5595,27.8714,0.744107
24.4895,27.3875,0.747344
24.4283,26.964,0.750176
24.3748,26.5935,0.752654
24.3279,26.2693,0.757322
24.2869,25.9857,0.761407
24.2511,25.7375,0.764981
24.2197,25.5203,0.768108
24.1922,25.3302,0.770845
24.1682,22.164,0.775739
24.1472,22.3935,0.780022
24.1288,22.5943,0.783769
24.1127,22.77,0.787048
24.0986,22.9238,0.789917
24.0863,23.0583,0.794927
24.0755,23.176,0.799311
24.0661,23.279,0.803147
24.0578,23.3691,0.806504
24.0506,23.448,0.811941
24.0443,23.517,0.816698
24.0387,23.5774,0.820861
24.0339,23.6302,0.824503
24.0296,23.6764,0.827691
24.0259,23.7169,0.832979
24.0227,23.7523,0.837607
24.0199,23.7832,0.841656
24.0174,23.8103,0.847699
24.0152,20.834,0.852987
24.0133,21.2298,0.857613
24.0116,21.5761,0.861662
24.0102,21.879,0.867704
24.0089,22.1442,0.872991
24.0078,22.3761,0.877617
24.0068,22.5791,0.884165
24.006,22.7567,0.889894
24.0052,22.9121,0.894908
24.0046,23.0481,0.901794
24.004,23.1671,0.90782
24.0035,23.2712,0.913092
24.0031,20.3623,0.920206
24.0027,20.817,0.92643
24.0023,21.2149,0.931876
24.0021,21.563,0.939142
24.0018,21.8677,0.945499
24.0016,22.1342,0.951062
24.0002,20.7923,0.991722
24.0002,21.1932,0.985257
24.0001,21.5441,0.9746
24.0001,21.8511,0.960275
24.0001,22.1197,0.94274
24.0001,22.3547,0.922398
24.0001,19.5604,0.899598
24.0001,20.1153,0.874648
24.0001,20.6009,0.847817
24.0001,21.0258,0.81934
24,21.3976,0.785673
24,21.7229,0.751214
24,19.1373,0.9202
24,19.7451,0.922675
24,20.277,0.922341
24,20.7424,0.919548
22.5,18.1496,0.914605
21.1875,15.8809,0.909029
20.0391,13.8958,0.904151
19.0342,12.1588,0.897382
18.1549,10.6389,0.891459
17.3855,9.30907,0.886277
16.7124,8.14544,0.881742
16.1233,7.12726,0.877774
15.6079,6.23635,0.874303
15.1569,5.45681,0.871265
14.7623,4.77471,0.868607
14.417,4.17787,0.863781
14.1149,3.65563,0.859558
13.8505,3.19868,0.853363
13.6192,2.79885,0.847943
13.4168,2.44899,0.8432
13.2397,2.14287,0.83905
13.0847,1.87501,0.835419
12.9491,1.64063,0.832242
11.9555,1.43555,0.830711
11.9611,1.25611,0.826872
11.9659,1.0991,0.823513
11.9702,0.961708,0.820574
11.9739,0.841495,0.818002
11.9772,0.736308,0.815752
11.98,0.644269,0.813783
11.9825,0.563736,0.79081
11.9847,0.493269,0.771959
11.9866,0.43161,0.754214
11.9883,0.377659,0.739937
11.9898,0.330452,0.728695
11.991,0.289145,0.720108
11.9922,0.253002,0.713845
11.9931,0.221377,0.709614
11.994,0.193705,0.707162
11.9947,0.169492,0.706267
11.9954,0.148305,0.706734
11.996,0.129767,0.708392
11.9965,0.113546,0.711093
11.9969,0.0993528,0.714706
11.9973,0.0869337,0.719118
11.9976,0.076067,0.724228
11.9979,0.0665586,0.72995
11.9982,0.0582388,0.736206
11.9984,0.050959,0.74293
11.9986,0.0445891,0.748814
11.9988,0.0390154,0.753962
11.9989,0.0341385,0.758467
11.9991,0.0298712,0.762409
11.9992,0.0261373,0.765858
11.9993,0.0228701,0.768875
11.9994,0.0200114,0.771516
11.9995,0.0175099,0.773826
11.9995,0.0153212,0.775848
11.9996,0.0134061,0.777617
11.9996,0.0117303,0.779165
11.9997,0.010264,0.780519
11.9997,0.00898101,0.781704
11.9998,0.00785838,0.782741
11.9998,0.00687609,0.783649
11.9998,0.00601657,0.784443
11.9998,0.0052645,0.785137
11.9999,0.00460644,0.785745
11.9999,0.00403064,0.786277
10.7499,0.00352681,0.787992
10.9062,111.003,0.786993
11.0429,97.1277,0.783619
11.1625,84.9867,0.778167
11.2672,74.3634,0.770896
11.3588,72.568,0.762034
11.439,63.497,0.75178
11.5091,55.5599,0.740307
11.5705,53.1149,0.727769
11.6241,46.4755,0.714298
11.6711,40.6661,0.700011
11.7122,35.5828,0.685009
11.7482,40.135,0.669383
11.7797,35.1181,0.65321
11.8072,30.7283,0.636559
11.8313,26.8873,0.619489
11.8524,23.5264,0.602053
11.8709,20.5856,0.584296
11.887,18.0124,0.566259
11.9011,15.7608,0.547977
11.9135,13.7907,0.52948
11.9243,12.0669,0.510795
11.9338,10.5585,0.491945
11.942,9.23871,0.472952
11.9493,8.08387,0.453833
11.9556,7.07339,0.434604
11.9612,6.18922,0.415279
11.966,5.41556,0.395869
11.9703,4.73862,0.376385
11.974,4.14629,0.356837
11.9772,3.628,0.337232
11.9801,3.1745,0.317578
11.9826,2.77769,0.297881
11.9848,2.43048,0.278146
11.9867,2.12667,0.258378
11.9883,1.86084,0.23858
11.9898,1.62823,0.218758
11.9911,1.4247,0.198913
11.9922,1.24661,0.179049
11.9932,1.09079,0.159168
11.994,0.954439,0.139272
11.9948,0.835134,0.121863
11.9954,0.730743,0.10663
11.996,0.6394,0.0933013
11.9965,0.559475,0.0816386
11.9969,0.48954,0.0714338
11.9973,0.428348,0.0625046
11.9976,0.374804,0.0546915
11.9979,0.327954,0.0478551
11.9982,0.28696,0.0418732
11.9984,0.25109,0.036639
11.9986,0.219703,0.0320592
11.9988,0.192241,0.0280518
11.9989,0.16821,0.0245453
11.9991,0.147184,0.0214771
11.9992,0.128786,0.0187925
11.9993,0.112688,0.0164434
11.9994,0.0986019,0.014388
11.9995,0.0862767,0.0125895
10.7495,0.0754921,0.0110158
338.531,457.066,0.113389
299.214,399.933,0.205465
264.813,349.941,0.288532
234.711,306.199,0.363716
208.372,267.924,0.432001
185.326,234.433,0.494251
165.16,205.129,0.55122
147.515,179.488,0.603567
132.076,157.052,0.651871
26.2489,26.4617,0.987756
25.9677,23.154,0.986787
25.0093,21.2692,0.981973
24.8831,18.6106,0.972976
24.7727,19.2842,0.965104
23.1761,16.8737,0.961966
21.7791,14.7645,0.95672
20.5567,12.9189,0.95088
19.4871,11.3041,0.94702
18.5512,9.89106,0.939893
17.7323,8.65468,0.934906
17.0158,7.57284,0.926793
16.3888,6.62624,0.920944
15.8402,5.79796,0.914576
15.3602,5.07321,0.909004
14.9402,4.43906,0.900378
14.5726,3.88418,0.894081
14.2511,3.39866,0.886071
13.9697,2.97382,0.875312
13.7235,2.6021,0.867148
13.508,2.27683,0.861255
13.3195,1.99223,0.854848
13.1546,1.7432,0.850492
13.0103,1.5253,0.84793
12.884,1.33464,0.841939
12.7735,1.16781,0.837947
12.6768,1.02183,0.835703
12.5922,0.894103,0.83249
12.5182,0.78234,0.830929
12.4534,0.684548,0.830813
12.3967,0.598979,0.826961
12.3471,0.524107,0.824841
12.3037,0.458594,0.824236
12.2658,0.401269,0.822457
12.2326,0.351111,0.822149
12.2035,0.307222,0.823131
12.178,0.268819,0.820239
12.1558,0.235217,0.818959
12.1363,0.205815,0.81909
12.1193,0.180088,0.816703
12.1044,0.157577,0.814615
12.0913,0.13788,0.811539
12.0799,0.120645,0.796346
12.0699,0.105564,0.781803
12.0612,0.0923687,0.767828
12.0535,0.0808226,0.754349
12.0468,0.0707198,0.743805
12.041,0.0618798,0.73583
12.0359,0.0541448,0.730101
