#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
239081,31.413,32.4418,246,26280,,0.00766621,0,1,7380,7134,246
242001,31.9864,32.8866,246,26280,,0.00689959,0,1,7416,7170,246
244921,30.9881,31.7758,246,26280,,0.00720963,0,1,7440,7194,246
247841,30.1146,30.8038,246,26280,,0.00748867,0,1,7464,7218,246
250761,29.3503,29.9533,246,26280,,0.0077398,0,1,7488,7242,246
253681,28.6815,29.2092,246,26280,,0.00796582,0,1,7512,7266,246
256601,28.0963,28.558,246,26280,,0.00816924,0,1,7536,7290,246
259521,27.5843,27.9883,246,26280,,0.00835231,0,1,7560,7314,246
262441,27.1362,27.4897,246,26280,,0.00851708,0,1,7584,7338,246
265361,28.9942,29.3035,246,26280,,0.00766537,0,1,7626,7380,246
268281,29.8699,30.1406,246,26280,,0.00689884,0,1,7662,7416,246
271201,29.1362,29.373,246,26280,,0.00720895,0,1,7686,7440,246
274121,28.4942,28.7014,246,26280,,0.00748806,0,1,7710,7464,246
277041,27.9324,28.1137,246,26280,,0.00773925,0,1,7734,7488,246
279961,27.4408,27.5995,246,26280,,0.00796533,0,1,7758,7512,246
282881,27.0107,27.1496,246,26280,,0.00816879,0,1,7782,7536,246
285801,26.6344,26.7559,246,26280,,0.00835191,0,1,7806,7560,246
288721,26.3051,26.4114,246,26280,,0.00851672,0,1,7830,7584,246
291641,28.267,28.36,246,26280,,0.00766505,0,1,7872,7626,246
294561,29.2336,29.315,246,26280,,0.00689855,0,1,7908,7662,246
297481,28.5794,28.6506,246,26280,,0.00720869,0,1,7932,7686,246
300401,28.007,28.0693,246,26280,,0.00748782,0,1,7956,7710,246
303321,27.5061,27.5606,246,26280,,0.00773904,0,1,7980,7734,246
306241,27.0678,27.1155,246,26280,,0.00796514,0,1,8004,7758,246
309161,26.6844,26.7261,246,26280,,0.00816862,0,1,8028,7782,246
312081,26.3488,26.3853,246,26280,,0.00835176,0,1,8052,7806,246
315001,26.0552,26.0872,246,26280,,0.00851658,0,1,8076,7830,246
317921,28.0483,28.0763,246,26280,,0.00766493,0,1,8118,7872,246
320841,29.0423,29.0667,246,26280,,0.00689843,0,1,8154,7908,246
323761,28.412,28.4334,246,26280,,0.00720859,0,1,8178,7932,246
326681,27.8605,27.8792,246,26280,,0.00748773,0,1,8202,7956,246
329601,27.3779,27.3943,246,26280,,0.00773896,0,1,8226,7980,246
332521,26.9557,26.97,246,26280,,0.00796506,0,1,8250,8004,246
335441,26.5862,26.5988,246,26280,,0.00816856,0,1,8274,8028,246
338361,26.2629,26.2739,246,26280,,0.0083517,0,1,8298,8052,246
341281,25.9801,25.9897,246,26280,,0.00851653,0,1,8322,8076,246
344201,27.9826,27.991,246,26280,,0.00766488,0,1,8364,8118,246
347121,28.9847,28.9921,246,26280,,0.00689839,0,1,8400,8154,246
350041,28.3617,28.3681,246,26280,,0.00720855,0,1,8424,8178,246
352961,27.8164,27.8221,246,26280,,0.0074877,0,1,8448,8202,246
355881,27.3394,27.3443,246,26280,,0.00773893,0,1,8472,8226,246
358801,26.922,26.9263,246,26280,,0.00796503,0,1,8496,8250,246
361721,26.5567,26.5605,246,26280,,0.00816853,0,1,8520,8274,246
364641,26.2371,26.2404,246,26280,,0.00835168,0,1,8544,8298,246
367561,25.9575,25.9604,246,26280,,0.00851651,0,1,8568,8322,246
370481,27.9628,27.9653,246,26280,,0.00766486,0,1,8610,8364,246
373401,28.9675,28.9697,246,26280,,0.00689837,0,1,8646,8400,246
376321,28.3465,28.3485,246,26280,,0.00720853,0,1,8670,8424,246
379241,27.8032,27.8049,246,26280,,0.00748768,0,1,8694,8448,246
382161,27.3278,27.3293,246,26280,,0.00773891,0,1,8718,8472,246
385081,26.9118,26.9131,246,26280,,0.00796502,0,1,8742,8496,246
388001,26.5479,26.549,246,26280,,0.00816852,0,1,8766,8520,246
390921,26.2294,26.2304,246,26280,,0.00835167,0,1,8790,8544,246
393841,25.9507,25.9516,246,26280,,0.0085165,0,1,8814,8568,246
396761,27.9569,27.9576,246,26280,,0.00766485,0,1,8856,8610,246
399681,28.9623,28.9629,246,26280,,0.00689837,0,1,8892,8646,246
402601,28.342,28.3426,246,26280,,0.00620853,0,1,8916,8670,246
405521,27.7992,27.7997,246,26280,,0.00558768,0,1,8940,8694,246
408441,27.3243,27.3248,246,26280,,0.00502891,0,1,8964,8718,246
411361,26.9088,26.9092,246,26280,,0.00452602,0,1,8988,8742,246
414281,26.5452,26.5455,246,26280,,0.00407342,0,1,9012,8766,246
417201,26.227,26.2273,246,26280,,0.00366607,0,1,9036,8790,246
420121,25.9487,25.9489,246,26280,,0.00329947,0,1,9060,8814,246
423041,27.9551,27.9553,246,26280,,0.00296952,0,1,9102,8856,246
425361,28.3357,28.9609,241,26280,,0.00267257,0,1,9133,8892,241
428281,338.419,338.341,246,26361,,0.00240531,0,1,11642,11396,246
431201,299.116,296.048,270,26441,,0.00316478,0,1,11666,11396,270
434121,264.727,259.042,294,26441,,0.0038483,0,1,11690,11396,294
437041,234.636,226.662,318,26441,,0.00446347,0,1,11714,11396,318
439961,208.306,198.329,342,26441,,0.00501713,0,1,11738,11396,342
442881,185.268,173.538,366,26441,,0.00551541,0,1,11762,11396,366
445801,165.11,151.846,390,26441,,0.00596387,0,1,11786,11396,390
448721,147.471,132.865,414,26441,,0.00636748,0,1,11810,11396,414
