#Ack,ack_ewma(ms),ack_ewma_norm,send_ewma(ms),send_ewma_norm,rtt_ratio,rtt_ratio_norm,cwnd (Bytes),cwnd_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1782821,13.5124,0.00421111024542267,1.392,0.000425985090521832,1335,0.490808823529412,76620,0.366989175208353,0.562135,0,2,74735,73400,1335
1782821,13.3234,0.00415220880405142,1.218,0.000372736954206603,1347,0.495220588235294,76620,0.366989175208353,0.568118,0,2,74747,73400,1347
1782821,13.158,0.00410066225165563,1.06575,0.000326144834930777,1359,0.499632352941176,76620,0.366989175208353,0.570854,0,2,74759,73400,1359
1782821,13.0132,0.00405553564472146,0.932534,0.000285377572129803,1371,0.504044117647059,76620,0.366989175208353,0.574497,0,2,74771,73400,1371
1782821,12.8866,0.00401608102843787,0.815967,0.000249705299107635,1383,0.508455882352941,76620,0.366989175208353,0.578935,0,2,74783,73400,1383
1782821,12.7757,0.00398151928320997,0.713971,0.000218492098466209,1395,0.512867647058824,76620,0.366989175208353,0.582818,0,2,74795,73400,1395
1782821,12.6788,0.00395132060771328,0.624725,0.000191180700916847,1407,0.517279411764706,76620,0.366989175208353,0.587466,0,2,74807,73400,1407
1782821,12.5939,0.00392486170627191,0.546634,0.000167282998543327,1419,0.521691176470588,76620,0.366989175208353,0.592782,0,2,74819,73400,1419
1782821,12.5197,0.00390173743669653,0.478305,0.000146372700231354,1431,0.526102941176471,76620,0.366989175208353,0.597435,0,2,74831,73400,1431
1782821,12.4547,0.00388148032723023,0.418517,0.000128076150955406,1443,0.530514705882353,76620,0.366989175208353,0.601505,0,2,74843,73400,1443
1782821,12.3979,0.00386377873003506,0.366202,0.000112066517327066,1455,0.534926470588235,76620,0.366989175208353,0.605067,0,2,74855,73400,1455
1782821,12.3481,0.00384825866770549,0.320427,9.80582791671257E-05,1467,0.539338235294118,76620,0.366989175208353,0.608184,0,2,74867,73400,1467
1782821,11.9296,0.0037178340475263,0.280374,8.58011090301495E-05,1476,0.542647058823529,76620,0.366989175208353,0.613411,0,2,74876,73400,1476
