#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.38,0.38,1,100010
40881,0.7,0.7,2,101169
42341,0.71,0.708,2,101169
99281,0.04,0.044399,1,101625
250441,0.94,0.94,2,102908
257301,0.94,0.94,2,102942
266661,0.88,0.88,2,102975
268741,0.78,0.8,2,102984
270201,0.81,0.808,2,102989
271861,0.74,0.7536,2,102993
274981,0.7,0.71072,2,102996
298741,0.17,0.238,1,103094
300201,0.18,0.1916,1,103094
320641,0.34,0.34,1,103451
346921,0.34,0.34,1,103451
374661,0.34,0.34,1,103451
414081,0.91,0.91,2,103523
415541,0.92,0.918,2,103523
417001,0.78,0.8076,2,103551
418461,0.79,0.79352,2,103551
425761,0.34,0.337342,1,103890
446821,0.37,0.369642,1,103902
448281,0.38,0.377928,1,103904
462801,0.27,0.297574,1,103920
493181,0.38,0.384016,1,103963
512721,0.32,0.345648,1,103982
534581,0.39,0.390001,1,103991
539981,0.38,0.379952,1,104000
561841,0.14,0.14,1,104332
569941,0.15,0.149997,1,104340
579081,0.14,0.140472,1,104351
583461,0.14,0.140004,1,104351
606321,0.23,0.219999,1,104383
627961,0.22,0.21944,1,104412
639201,0.09,0.0900288,1,104425
645041,0.09,0.09,1,104425
646501,0.09,0.09,1,104425
663321,0.19,0.19016,1,104445
684121,0.14,0.141197,1,104766
696821,0.05,0.0500032,1,104776
718261,0.07,0.07,1,104786
738821,0.16,0.1576,1,104832
771701,0.1,0.0999994,1,104859
777301,0.19,0.1848,1,104867
823921,0.17,0.17,1,105203
837441,0.15,0.15,1,105214
861141,0.25,0.24999,1,105239
878801,0.17,0.209978,1,105284
912721,0.23,0.23,1,105310
920021,0.23,0.23,1,105310
924781,0.36,0.359728,1,105319
941201,0.12,0.177742,1,105573
952041,0.07,0.0700004,1,105643
967641,0.17,0.169998,1,105649
968241,0.12,0.13,1,105658
990721,0.23,0.22999,1,105677
997581,0.28,0.279856,1,105690
1019841,0.34,0.339971,1,105723
1023781,0.32,0.3192,1,105734
1053321,0.38,0.37952,1,105768
1085761,0.08,0.098,1,106087
1090141,0.09,0.090064,1,106087
1100361,0.09,0.09,1,106087
1101361,0.19,0.17,1,106095
1117181,0.21,0.210071,1,106116
1123021,0.21,0.21,1,106116
1125701,0.28,0.2756,1,106141
1129441,0.21,0.223965,1,106160
1133821,0.22,0.220032,1,106160
1150881,0.32,0.319955,1,106168
1162101,0.3,0.298,1,106192
1172321,0.3,0.3,1,106192
1203281,0.81,0.751989,2,106449
1204741,0.82,0.806398,2,106449
1205361,0.72,0.73728,2,106517
1206821,0.73,0.731456,2,106517
1208281,0.73,0.730291,2,106517
1209741,0.73,0.730058,2,106517
1211201,0.73,0.730012,2,106517
1212661,0.73,0.730002,2,106517
1214121,0.73,0.73,2,106517
1215581,0.73,0.73,2,106517
1217041,0.73,0.73,2,106517
1218501,0.73,0.73,2,106517
1219961,0.73,0.73,2,106517
1221421,0.73,0.73,2,106517
1222001,0.85,0.826,2,106522
1223461,0.86,0.8532,2,106522
1224921,0.86,0.85864,2,106522
1226381,0.86,0.859728,2,106522
1227841,0.86,0.859946,2,106522
1229301,0.86,0.859989,2,106522
1230761,0.86,0.859998,2,106522
1231361,0.93,0.916,2,106528
1232821,0.94,0.9352,2,106528
1233441,0.81,0.83504,2,106540
1234901,0.82,0.823008,2,106540
1236361,0.82,0.820602,2,106540
1237821,0.82,0.82012,2,106540
1239281,0.82,0.820024,2,106540
1240741,0.82,0.820005,2,106540
1242201,0.82,0.820001,2,106540
1243661,0.82,0.82,2,106540
1243841,0.94,0.916,2,106549
1245301,0.95,0.9432,2,106549
1245921,0.88,0.89264,2,106561
1247381,0.89,0.890528,2,106561
1248841,0.89,0.890106,2,106561
1250301,0.89,0.890021,2,106561
1251761,0.89,0.890004,2,106561
1253221,0.89,0.890001,2,106561
1254681,0.89,0.89,2,106561
1291681,0.95,0.95,2,106641
1479101,0.85,0.85,2,108008
1480561,0.78,0.794,2,108014
1482421,0.69,0.7108,2,108020
1494901,0.29,0.315631,1,108062
1514501,0.02,0.02,1,108246
1530561,0.32,0.31984,1,108345
1542241,0.32,0.32,1,108345
1559761,0.32,0.32,1,108345
1571441,0.32,0.32,1,108345
1655681,0.94,0.94,2,108790
1657141,0.95,0.948,2,108790
1658601,0.95,0.9496,2,108790
1660061,0.95,0.94992,2,108790
1661521,0.95,0.949984,2,108790
1662981,0.95,0.949997,2,108790
1664441,0.95,0.949999,2,108790
1665901,0.95,0.95,2,108790
1667361,0.95,0.95,2,108790
1668821,0.95,0.95,2,108790
1672321,0.77,0.77,2,108804
1673781,0.78,0.778,2,108804
1675241,0.78,0.7796,2,108804
1676701,0.78,0.77992,2,108804
1678161,0.78,0.779984,2,108804
1679621,0.78,0.779997,2,108804
1681081,0.78,0.779999,2,108804
1682541,0.78,0.78,2,108804
1684001,0.78,0.78,2,108804
1685461,0.78,0.78,2,108804
1686921,0.78,0.78,2,108804
1688381,0.78,0.78,2,108804
1689841,0.78,0.78,2,108804
1690001,0.94,0.908,2,108812
1691461,0.95,0.9416,2,108812
1692921,0.95,0.94832,2,108812
1694381,0.95,0.949664,2,108812
1695841,0.95,0.949933,2,108812
1697301,0.95,0.949987,2,108812
1698761,0.95,0.949997,2,108812
1700221,0.95,0.949999,2,108812
1701681,0.95,0.95,2,108812
1743881,0.22,0.219504,1,109131
1760521,0.1,0.10024,1,109158
1782561,0.41,0.38176,1,109264
1796521,0.35,0.35,1,109271
1818561,0.27,0.270019,1,109292
1821481,0.27,0.270001,1,109292
1822941,0.27,0.27,1,109292
1829361,0.38,0.358,1,109307
1855781,0.38,0.383071,1,109367
1872421,0.32,0.319806,1,109571
1878241,0.31,0.312,1,109583
1896961,0.36,0.353999,1,109603
2034661,0.72,0.713201,2,110062
2036121,0.72,0.71864,2,110062
2037581,0.72,0.719728,2,110062
2038401,0.79,0.775946,2,110074
2039861,0.8,0.795189,2,110074
2040481,0.81,0.807038,2,110091
2041941,0.82,0.817408,2,110091
2042561,0.77,0.779482,2,110172
2044021,0.78,0.779896,2,110172
2045481,0.78,0.779979,2,110172
2046941,0.78,0.779996,2,110172
2048401,0.78,0.779999,2,110172
2049861,0.78,0.78,2,110172
2051321,0.78,0.78,2,110172
2052781,0.78,0.78,2,110172
2054241,0.78,0.78,2,110172
2055701,0.78,0.78,2,110172
2056081,0.74,0.748,2,110183
2057541,0.75,0.7496,2,110183
2059001,0.75,0.74992,2,110183
2060461,0.75,0.749984,2,110183
2061921,0.75,0.749997,2,110183
2063381,0.75,0.749999,2,110183
2064841,0.75,0.75,2,110183
2066301,0.75,0.75,2,110183
2067761,0.75,0.75,2,110183
2069221,0.75,0.75,2,110183
2070681,0.75,0.75,2,110183
2071681,0.81,0.798,2,110190
2073141,0.82,0.8156,2,110190
2074601,0.82,0.81912,2,110190
2076061,0.82,0.819824,2,110190
2077521,0.82,0.819965,2,110190
2078981,0.82,0.819993,2,110190
2080441,0.82,0.819999,2,110190
2081901,0.82,0.82,2,110190
2083121,0.86,0.852,2,110199
2084581,0.87,0.8664,2,110199
2086041,0.87,0.86928,2,110199
2087501,0.87,0.869856,2,110199
2088961,0.87,0.869971,2,110199
2090401,0.89,0.885994,2,110206
2091861,0.9,0.897199,2,110206
2092481,0.92,0.91544,2,110212
2093941,0.93,0.927088,2,110212
2095401,0.93,0.929418,2,110212
2095601,0.79,0.817884,2,110225
2097061,0.8,0.803577,2,110225
2098521,0.8,0.800715,2,110225
2099981,0.8,0.800143,2,110225
2101441,0.8,0.800029,2,110225
2102901,0.8,0.800006,2,110225
2104361,0.8,0.800001,2,110225
2105821,0.8,0.8,2,110225
2106001,0.89,0.872,2,110252
2107461,0.9,0.8944,2,110252
2108921,0.9,0.89888,2,110252
2110381,0.9,0.899776,2,110252
2111841,0.9,0.899955,2,110252
2115361,0.86,0.86,2,110274
2116821,0.87,0.868,2,110274
2118281,0.87,0.8696,2,110274
2119741,0.87,0.86992,2,110274
2121201,0.87,0.869984,2,110274
2122661,0.87,0.869997,2,110274
2123681,0.89,0.885999,2,110280
